Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
-0.871146	-14.604699	0.015401	30.287125
-0.915202	-14.942869	0.001406	30.718517
-0.96689	-15.427271	0.014912	31.212144
-1.002172	-15.526365	0.018579	31.746788
-1.051044	-15.781781	-0.007151	32.360638
-1.088611	-16.09224	0.002872	32.718482
-1.138075	-16.414221	-0.005684	33.393152
-1.172397	-16.757586	0.013201	33.888193
-1.213005	-16.910595	0.015401	34.388891
-1.212107	-16.697045	0.01314	34.434152
-1.170724	-14.813053	0.011245	33.234739
-1.120505	-12.102046	0.006845	31.29524
-1.114384	-11.54837	-0.002445	30.658759
-1.116771	-11.487829	0.00929	30.588392
-1.114078	-11.363509	0.006356	30.532877
-1.093651	-9.755414	-0.021024	29.226323
-1.062471	-7.872928	0.000917	27.251818
-1.036454	-6.240661	0.006662	25.441029
-1.012701	-5.173593	0.005317	24.154277
-0.991704	-4.234759	0.007578	22.674105
-0.962013	-3.066337	0.011245	20.973286
-0.944138	-2.322378	0.006295	19.728612
-0.932343	-2.247154	-0.013934	19.215184
-0.929364	-2.086691	0.009779	19.076219
-0.929037	-2.075095	-0.002017	18.954227
-0.907407	-1.489868	0.003973	18.064922
-0.881022	-0.807353	0.001528	16.711339
-0.848883	-0.230334	-0.002445	15.491063
-0.811377	0.2119	0.001406	14.082319
-0.780483	0.741632	0.019007	13.210693
-0.754771	0.986882	0.008556	12.287089
-0.705144	1.292297	0.010206	11.46815
-0.661558	1.572034	0.008801	10.671841
-0.609645	1.773837	0.003484	9.912661
-0.546367	1.985956	0.00929	9.387918
-0.485557	2.237757	0.005867	8.820743
-0.44597	2.315466	0.010206	8.357879
-0.419442	2.427135	0.001956	7.959018
-0.383793	2.564782	0.018763	7.649618
-0.351287	2.697008	0.007273	7.536112
-0.314719	2.881115	0.026096	7.390428
-0.271785	3.045118	0.001711	7.262071
-0.228219	3.105658	0.000672	7.233783
-0.191713	3.357761	0.008801	7.121692
-0.148942	3.462729	-0.000061	7.117802
-0.107967	3.519354	0.002384	7.248988
-0.07591	3.667543	-0.002261	7.285763
-0.042689	3.804814	-0.001772	7.50252
0.003591	3.941332	-0.00495	7.524797
0.046954	4.099988	-0.005439	7.613904
0.111926	4.181688	0.013873	7.768427
0.159023	4.397571	-0.008862	8.063684
