Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	0.378538	0	98.664808
0.029019	3.011007	0.003784	98.990474
0.056874	5.450484	0.00042	97.857184
0.087136	7.293212	-0.010571	94.921239
0.112926	8.853944	-0.008589	91.665285
0.142366	10.163552	-0.008709	88.657559
0.17349	11.327381	-0.010391	85.557896
0.212717	12.208384	0.00937	82.604625
0.244924	12.968683	-0.000481	79.747179
0.286276	13.765653	0.000961	77.159176
0.333223	14.389734	-0.000481	74.6769
0.375157	14.875868	-0.000481	72.324396
0.377323	14.87888	0.004625	71.574763
0.378366	14.126789	0.005466	70.691115
0.378366	13.978449	0.001622	70.47259
0.37991	13.780411	0.004805	70.332917
0.377022	13.566485	0.003183	70.25654
0.322213	10.333804	0.002403	69.361223
0.293756	7.508794	0.000901	68.431961
0.26207	4.749596	0.008589	67.556446
0.245626	2.510416	0.004264	66.809642
0.239369	2.139416	-0.007688	66.6926
0.233032	2.188135	-0.000961	66.650168
0.230866	1.941152	0.004565	66.707805
0.227657	1.687544	0.003303	66.775696
0.227316	1.496057	0.00979	66.887787
0.223867	1.364358	0.002403	66.976541
0.222583	1.095088	0.007628	67.104191
0.219635	0.856238	0.011772	67.115506
0.212917	0.158061	0.010811	67.201785
0.187388	-2.009283	0.004264	66.405123
0.155441	-4.252981	0.00907	65.519707
0.12921	-6.191491	0.011232	64.503105
0.107511	-7.951917	-0.004865	63.546616
0.079235	-9.384489	-0.005286	62.552291
0.052843	-10.643195	0.013154	61.539579
0.020536	-12.029834	-0.002403	60.446246
-0.009526	-13.007598	0.014355	59.434595
-0.047268	-13.822564	-0.000781	58.407032
-0.085111	-14.549053	0.012733	57.477416
-0.101234	-15.124717	0.012733	56.943125
-0.100533	-14.545213	0.004024	56.839874
-0.063051	-12.423274	-0.002403	56.398227
-0.052783	-11.455751	0.007208	56.272345
-0.052081	-11.385271	0.002342	56.255726
-0.048792	-11.328043	0.00985	56.224256
-0.044039	-10.33778	0.013875	56.101556
-0.026652	-8.759729	0.018199	55.841306
-0.017748	-7.473916	0.017238	55.661323
-0.00732	-6.316111	0.012733	55.472147
0.00361	-5.324267	0.007688	55.251147
0.010749	-4.505912	0.006427	55.012466
0.018951	-3.651113	0.011953	54.825058
0.028076	-3.147811	0.014896	54.677253
0.033751	-2.620489	0.008829	54.482773
0.034313	-2.358974	-0.003664	54.393665
0.038966	-2.254232	0.015616	54.323299
0.04805	-1.114199	0.011532	54.242678
0.062951	0.035775	0.005225	54.076839
0.088239	2.345736	0.007388	53.859375
0.110861	4.510671	0.015316	53.691415
0.138275	6.389468	-0.002703	53.524515
0.160816	8.087621	0.002823	53.309526
0.195309	9.55453	0.004024	53.138384
0.235418	10.794938	0.005706	52.880962
0.266803	11.780382	0.014655	52.586413
0.309399	12.570499	0.000901	52.017823
0.356647	13.192624	0.010751	51.436858
0.387551	13.805109	-0.004625	50.813813
0.40951	14.233639	0.005286	50.182283
0.429725	14.511945	0.015797	49.425578
0.444064	14.747783	-0.001502	48.766113
0.45762	14.693944	0.014355	48.187976
0.459004	14.221365	0.012253	47.637773
0.460187	13.971371	0.016277	47.493151
0.459626	13.866855	0.022343	47.450719
0.459546	13.741481	0.016097	47.395557
0.428421	11.24041	0.010271	46.518274
0.41697	8.613362	0.012253	45.406907
0.402912	5.852432	0.013154	44.306856
0.386809	3.730569	0.017058	43.476602
0.378526	2.556876	0.010031	43.008435
0.370143	2.172849	0.014595	42.888211
0.367937	1.975564	0.017598	42.770815
0.367536	1.861034	0.02817	42.798396
0.366353	1.900792	0.014836	42.923217
0.36162	1.630693	0.016277	43.066072
