Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	0.20069	0	98.586
0.037036	2.8996	-0.01185	97.835
0.074664	5.6147	-0.012033	96.196
0.10833	7.8988	-0.0039703	93.467
0.13601	9.6591	-0.010811	90.703
0.16562	11.217	0.003787	87.777
0.18561	12.476	-0.011605	84.882
0.21041	13.613	-0.0010995	82.069
0.23211	14.645	-0.0009773	79.178
0.23823	14.804	0.0062303	78.517
0.23829	14.291	-0.005253	77.643
0.23831	14.077	-0.006719	77.376
0.23666	13.974	-0.0047033	77.3
0.23812	13.902	-0.017653	77.238
0.20566	11.423	-0.0017714	77.297
0.18192	8.3324	-0.013988	77.303
0.16473	5.5803	0.0006719	77.358
0.15214	3.9837	-0.0032373	77.407
0.14602	2.8977	0.00073298	77.564
0.1386	2.4998	-0.0064746	77.525
0.14229	2.4359	0.0015881	77.485
0.14439	2.4091	-0.0098341	77.512
0.14301	2.0753	-0.0020768	77.685
0.13952	1.7979	-0.00079406	77.881
0.13477	1.6067	-0.0020768	78.039
0.13462	1.4791	-0.0086125	78.291
0.1312	1.3621	0.0026265	78.541
0.12769	1.0043	-0.0050087	78.796
0.10281	-0.88554	-0.0066579	79.048
0.088797	-2.7183	0.0054973	78.94
0.054249	-4.8797	-0.0047033	78.535
0.02635	-7.0419	0.0072687	77.681
-0.0053637	-8.5986	-0.0069022	76.892
-0.041033	-10.069	0.0030541	75.754
-0.074949	-11.31	0.0050698	74.592
-0.10271	-12.431	-0.0040314	73.386
-0.14243	-13.448	-0.0069633	72.075
-0.1882	-14.379	0.0032984	70.811
-0.20702	-14.816	0.010689	69.953
-0.21455	-14.419	-0.0012827	69.619
-0.15455	-12.52	0.0061081	68.482
-0.15092	-11.454	0.012461	67.96
-0.14904	-11.435	0.017225	67.943
-0.15157	-11.416	0.008979	67.957
-0.14929	-11.427	0.013804	67.887
-0.13061	-9.2875	0.014843	66.927
-0.10882	-7.2904	-0.00061081	66.019
-0.10442	-6.2051	0.0084903	65.414
-0.099688	-5.5717	-0.0019546	65.101
-0.092183	-4.8873	0.016981	64.624
-0.086309	-4.3037	0.015331	64.232
-0.084759	-3.7494	0.0096509	63.827
-0.074358	-3.2495	0.0013438	63.48
-0.073093	-2.9024	-0.00036649	63.176
-0.074643	-2.8722	0.015576	63.141
-0.072196	-2.7639	0.00018324	63.123
-0.063365	-2.1207	0.0032984	62.707
-0.042339	-0.31203	0.0064746	62.065
-0.0074847	1.7287	0.0028097	61.385
0.025452	3.8264	0.0054973	60.685
0.060938	5.9053	0.00085514	60.093
0.098546	7.8108	0.0013438	59.54
0.12628	9.4759	0.012094	58.992
0.14611	10.959	0.0026265	58.519
0.17982	12.169	0.0092844	57.828
0.20062	13.098	0.0038481	57.156
0.22393	13.923	0.011667	56.269
0.24589	14.491	0.0092233	55.4
0.26276	14.857	-0.011544	54.534
0.26651	14.642	0.01356	54.259
0.26417	14.231	-0.0010995	54.006
0.26335	14.12	0.0094065	53.918
0.26398	14.055	-0.0030541	53.845
0.25893	13.262	0.014537	53.849
0.2263	10.32	0.018019	53.615
0.20786	7.6356	0.029197	53.391
0.18642	5.3112	0.0013438	53.17
0.17403	3.5677	0.011728	53.079
0.16032	2.6779	0.018752	53.14
0.15777	2.2731	0.0089179	53.167
0.15965	2.2494	0.023333	53.124
0.16046	2.2313	0.019974	53.085
0.1572	2.0259	0.0047644	53.216
0.15067	1.8411	0.00061081	53.406
0.15363	1.7448	0.0050698	53.665
0.14776	1.6523	0.021867	53.852
0.15557	1.5769	0.0042757	54.041
0.14735	1.41	0.010872	54.262
0.13134	-0.4154	0.00678	54.341
0.10646	-2.7888	0.019241	54.117
0.073991	-4.5806	0.011239	53.961
0.038097	-6.3945	0.018447	53.682
0.013807	-7.9545	0.0069633	53.486
-0.027655	-9.3717	0.0013438	53.229
-0.065323	-10.662	0.018202	52.99
-0.096098	-11.721	0.0072076	52.699
-0.13409	-12.706	0.0124	52.246
-0.17984	-13.401	0.035366	51.781
-0.23788	-14.046	0.018202	51.295
-0.29678	-14.605	0.025043	50.783
-0.32221	-14.868	0.018569	50.39
-0.32368	-14.54	0.023333	50.292
-0.28346	-12.873	-0.0027487	49.265
-0.26103	-11.144	0.014843	48.356
-0.25803	-11.12	0.025166	48.309
-0.25697	-11.099	0.0062914	48.307
-0.25656	-11.092	0.018447	48.324
-0.24226	-10.037	-0.0048865	47.778
-0.2018	-8.0117	0.003787	46.757
-0.16974	-6.4882	0.005986	45.921
-0.15408	-5.5044	0.013865	45.439
-0.1491	-4.7206	0.0077573	45.048
-0.14064	-4.0526	0.0091622	44.671
-0.12873	-3.5303	0.0073298	44.286
-0.12628	-3.0022	0.0023822	43.967
-0.11386	-2.5574	0.032617	43.751
-0.11258	-2.3453	0.010384	43.552
-0.11258	-2.3172	0.0087346	43.497
-0.10497	-1.8577	0.012827	43.183
-0.10285	-1.2807	0.0077573	42.68
-0.084086	-0.048755	0.0074519	42.15
-0.056044	1.5762	0.013071	41.504
-0.016723	3.2206	0.00091622	40.991
0.017478	4.7986	0.011605	40.577
0.062162	6.3939	0.014049	40.219
0.10109	7.7148	0.012094	40.013
0.12916	8.7975	0.0124	39.87
0.15314	9.8663	0.00452	39.734
0.18575	10.826	0.031213	39.657
0.20339	11.573	0.01637	39.6
0.22803	12.287	0.008979	39.423
0.25746	12.841	0.018691	39.329
0.2782	13.326	0.014843	39.102
0.30308	13.69	0.012888	38.982
0.33139	14.018	0.01356	38.746
0.36883	14.317	0.0054973	38.56
0.40854	14.59	0.016553	38.332
0.45473	14.739	0.012827	38.197
0.45757	14.616	0.0048865	37.963
0.45557	14.178	0.0124	37.793
0.45335	14.066	0.014537	37.71
0.45553	14.01	0.0045811	37.586
0.45088	13.955	0.024799	37.625
0.39149	11.054	0.0065357	37.089
0.34654	8.2608	0.022417	36.26
0.32144	6.1165	0.020462	35.688
0.30471	4.2801	0.014537	35.097
0.29237	3.2384	0.027059	34.953
