Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	-0.915385	0	98.544372
0.031218	2.156531	-0.004623	97.960577
0.075394	5.362933	-0.014174	96.622553
0.126191	7.474706	-0.014356	94.253783
0.156637	9.596118	-0.011497	91.363805
0.185316	11.035844	0.001947	88.5693
0.223927	12.174673	-0.012105	85.822531
0.22279	12.614648	-0.005657	84.966464
0.223948	11.926636	0.004076	84.250777
0.173475	8.897339	0.004806	84.226378
0.171444	8.369264	-0.003163	84.264921
0.174856	8.221752	-0.01539	84.131967
0.173699	8.100821	0.006752	83.995123
0.169393	8.151272	-0.008516	84.057357
0.152007	5.608183	0	84.288965
0.150808	4.858201	-0.008577	84.238047
0.151844	4.810687	-0.007604	84.395046
0.147071	4.927175	0.002433	84.575028
0.150646	4.740508	-0.000487	84.57326
0.152169	4.663552	-0.006874	84.854726
0.143821	4.444656	-0.014356	85.332794
0.14179	4.384417	-0.003711	85.614614
0.13852	4.032843	-0.002677	86.019133
0.141059	3.789024	0.00146	86.331362
0.109537	1.178467	0.002859	86.897477
0.06402	-2.150598	0.008273	86.772656
0.011537	-4.943078	0.009246	86.259228
-0.029654	-7.619522	0.002677	85.4021
-0.085468	-9.789352	-0.004684	84.19314
-0.124932	-11.351288	0.00949	82.859005
-0.158344	-12.579272	-0.023907	81.375297
-0.158506	-12.521818	0.019223	81.290786
-0.161593	-11.856472	-0.002433	80.565905
-0.164031	-11.824847	0.000487	80.236703
-0.16334	-11.615138	-0.000791	80.128148
-0.162873	-11.756399	-0.000973	80.012167
-0.159704	-11.593828	0.004806	79.891589
-0.154688	-11.517248	-0.006083	79.647251
-0.154667	-11.407311	-0.01241	79.30638
-0.149732	-10.841059	-0.003893	78.992383
-0.139292	-10.56102	-0.009733	78.695358
-0.13064	-10.360347	-0.009307	78.69253
-0.115833	-10.026093	0.007543	78.408942
-0.096334	-8.40226	0.002859	77.705277
-0.078786	-6.457727	0.019162	77.027425
-0.064426	-4.941798	-0.014904	76.545467
-0.042795	-3.447556	0.004076	75.999508
-0.010643	-1.100999	-0.00438	75.348883
0.010562	1.276356	0.00584	74.61693
0.055672	3.733829	-0.005171	73.876136
0.099544	6.579923	-0.000061	73.364123
0.133889	8.721741	0.001399	72.591859
0.165757	10.851134	-0.000304	71.545202
0.198681	12.16014	-0.001764	70.394232
0.210299	12.573459	-0.00949	69.887876
0.212716	11.99659	-0.001521	69.47487
0.179304	10.190306	-0.002494	69.300545
0.166387	9.579251	-0.008334	69.307971
0.165493	9.457718	-0.020257	69.199062
0.166305	9.513891	-0.01174	69.252809
0.16663	9.42948	-0.007543	69.174664
0.149183	7.23036	-0.024637	69.25387
0.148757	6.475106	0.00438	69.231593
0.143557	6.188064	-0.008273	69.342624
0.149407	6.029032	0.004137	69.447643
0.142014	6.123909	-0.015877	69.485478
0.145588	5.941986	-0.016303	69.517302
0.136895	5.831446	-0.009733	69.590498
0.137708	5.79101	0.007543	69.877975
0.137809	5.681676	-0.011436	70.091196
0.135027	5.471741	-0.000791	70.490411
0.112461	2.983847	-0.006813	71.005961
0.064914	-0.503949	-0.009003	71.072791
0.014807	-3.311715	-0.00438	71.197612
-0.035564	-6.231904	-0.012896	71.320665
-0.084229	-8.76189	-0.002433	71.209988
-0.117966	-10.963195	-0.010706	71.03637
-0.155398	-12.534695	0.004137	70.429238
-0.181884	-13.254256	0.000912	70.03073
-0.180259	-12.891463	-0.014904	69.722037
-0.188058	-12.517828	-0.010645	69.519778
-0.179447	-12.322049	-0.012227	69.293827
-0.181071	-12.181841	-0.00803	69.199062
-0.18164	-12.227774	-0.010767	69.092982
-0.181417	-11.97665	-0.00146	68.937398
-0.178147	-11.685392	-0.009003	68.46923
-0.161167	-11.39195	-0.00146	68.002478
-0.144126	-10.885712	0.002372	67.545626
-0.136895	-10.547994	-0.006874	67.464651
-0.135677	-10.405904	0.020439	67.360339
-0.11894	-9.401635	-0.003407	66.900658
-0.103748	-7.96349	0.00803	66.248265
-0.076613	-6.355696	-0.009733	65.652802
-0.06467	-4.63164	-0.001521	65.225299
-0.049234	-3.361112	0.004806	64.725308
-0.009343	-1.046482	0.007482	64.034726
0.012349	1.303539	0.020926	63.527309
0.061014	3.478037	-0.006144	62.998323
0.094649	6.112087	-0.00292	62.551018
0.134783	8.274914	-0.001703	62.309509
0.166955	10.306568	0.001886	61.88342
0.19141	11.490577	-0.005171	61.331803
0.220332	12.766828	0.001703	60.545749
0.221003	12.503882	0.005536	60.367181
0.212127	11.014383	-0.019466	60.093141
0.177842	9.022035	-0.002433	59.912097
0.175425	8.924447	-0.001277	59.876737
0.177131	8.809389	-0.000304	59.911743
0.177355	8.791845	-0.015573	59.852692
0.165331	8.520541	0.011862	59.846681
0.161512	7.060333	-0.010463	59.940385
0.152413	6.581881	-0.002251	60.009337
0.156008	6.541671	-0.010281	60.173408
0.158344	6.616669	-0.006144	60.224326
0.15747	6.581655	-0.013444	60.217254
0.154302	6.514186	-0.012227	60.371778
0.152921	6.296797	0.007726	60.581109
0.153225	6.296797	-0.002494	60.748009
0.149326	5.887017	0.000912	61.228906
0.137241	4.646459	-0.005353	61.633425
0.105556	1.275452	-0.004441	61.665956
0.06857	-1.666949	-0.012714	61.688233
0.017589	-4.102059	-0.006083	61.755063
-0.029573	-6.91231	0.003163	61.873166
-0.084899	-9.271216	-0.01168	61.909233
-0.129421	-11.377869	-0.006996	61.845585
-0.159643	-12.464591	0.007969	61.660298
-0.16663	-12.305257	0.007786	61.593468
-0.162568	-11.993442	0.003832	61.313416
-0.160923	-11.823566	-0.012166	61.201678
-0.167098	-11.725451	-0.000791	61.098781
-0.159704	-11.717545	0.002859	61.091709
-0.160537	-11.769727	0.003346	60.95239
-0.159786	-11.659715	-0.008273	60.643343
-0.155317	-11.43841	0.002494	60.278074
-0.137383	-10.725474	-0.006083	59.714081
-0.125501	-10.531202	-0.002981	59.603757
-0.121033	-10.361552	-0.001034	59.466207
-0.11697	-10.241675	0.008212	59.288346
-0.09538	-9.184546	0.005536	58.657169
-0.076613	-7.662819	0.01241	58.080093
-0.058577	-5.982437	0.002372	57.496298
-0.038916	-4.301828	-0.000791	56.91604
-0.003697	-2.242463	0.003163	56.264354
0.017406	0.162602	0.000182	55.700007
0.065259	2.690254	-0.003163	55.299378
0.118291	5.071524	0.002616	54.943302
0.142115	7.456635	0.0073	54.766502
0.162487	9.340326	-0.0073	54.777463
0.200671	11.027636	0	54.514738
0.226913	11.970084	-0.009551	54.151237
0.239831	12.642132	-0.015086	53.862345
0.23847	12.212548	0.001156	53.477981
0.213264	10.264401	0.014295	53.418577
0.19799	9.216308	-0.00876	53.334773
0.199229	9.014505	0.01904	53.335127
0.198072	9.067215	-0.002372	53.320629
0.198417	9.017141	-0.002007	53.340431
0.18623	7.750829	0.005049	53.258749
0.184098	6.854314	-0.009307	53.35316
0.175486	6.386479	-0.016729	53.336541
0.174917	6.367202	-0.006144	53.576636
0.173049	6.11397	-0.009003	53.626494
0.174917	6.474202	-0.003163	53.721259
0.171261	6.356058	-0.007239	53.694385
0.173211	6.307866	-0.010463	54.035256
0.165676	6.176845	-0.000304	54.281362
0.166062	5.654643	0.007726	54.538783
0.148046	3.708529	0.016303	54.854195
0.119042	0.559279	-0.004684	54.816006
0.069788	-2.256092	0.003102	54.796204
0.021855	-4.849105	-0.02196	54.80752
-0.018361	-7.205902	0.008699	54.815652
-0.073322	-9.367976	0.002859	54.975833
-0.115772	-11.357011	-0.016789	55.035238
-0.158648	-12.667598	0.015573	55.058576
-0.176745	-12.676634	0.001703	54.993867
-0.177517	-12.281688	0.011923	54.722655
-0.176705	-11.821458	-0.01685	54.595359
-0.171992	-11.805796	0.002677	54.559999
-0.177192	-11.897134	-0.002737	54.445079
-0.175059	-11.771158	-0.003163	54.311064
-0.172967	-11.541645	-0.031693	54.145579
-0.16598	-11.352192	0.004867	53.747779
-0.151438	-10.993465	0.009429	53.24708
-0.138662	-10.48173	-0.003163	53.05649
-0.131777	-10.381205	-0.002737	52.913635
-0.120565	-10.332938	-0.007239	52.800129
