Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	-0.100728	0	98.406892
0.025173	2.794913	-0.018727	98.931281
0.037053	5.22076	0.005437	98.586167
0.052847	7.292775	0.002296	97.330532
0.076406	9.258392	-0.008337	95.521158
0.096496	10.658661	-0.008095	93.519425
0.118784	11.833559	0.004289	91.440607
0.14906	12.898971	-0.002235	89.135485
0.186618	14.117015	0.007853	86.704128
0.235773	15.063981	-0.005618	84.418454
0.262822	15.382648	-0.001752	82.275281
0.2886	16.138655	-0.005437	80.097102
0.313127	16.84918	0.002779	77.801527
0.33945	17.208811	0.007491	75.698664
0.367446	17.423264	-0.003745	73.801244
0.395826	17.664222	0.004289	71.86917
0.447563	18.112931	-0.00151	69.932147
0.494339	18.313303	-0.006343	68.24335
0.536475	18.34636	0.009424	66.636589
0.573185	18.425951	0.009122	65.18223
0.60562	18.788895	0.002054	63.731054
0.650559	18.945141	0.001873	62.383482
0.699594	18.821047	0.008578	61.230744
0.730778	19.046419	0.015344	60.226519
0.755043	19.207785	0.015465	59.107727
0.792076	19.229547	-0.004229	58.209228
0.834494	19.08949	0.020177	57.325226
0.863943	19.348068	0.012686	56.462794
0.931797	19.398218	0.015646	55.621932
0.984038	19.614026	-0.003443	55.056525
1.032266	19.487222	0.009122	54.434188
1.063894	19.669221	-0.001812	54.046995
1.064942	19.174955	0.010089	53.410514
0.994991	16.925082	0.018123	52.163012
0.967721	14.738988	-0.011176	50.833474
0.964735	14.10941	0.019452	50.604341
0.96298	14.0128	0.001571	50.554836
0.961165	14.253759	0.000604	50.554483
0.925524	12.123612	0.012263	49.286825
0.874049	9.359294	0.023862	47.431836
0.83758	7.226738	0.00888	45.784765
0.809523	5.906362	0.017761	44.541859
0.800003	5.537093	0.01027	44.417745
0.798187	5.303966	0.015344	44.495184
0.796352	5.034017	0.012263	44.784075
0.795364	5.19674	-0.005377	44.984213
0.793266	5.188908	0.008639	45.214761
0.78901	4.942529	0.00882	45.502592
0.784734	4.706992	0.028454	45.725714
0.782132	4.970465	0.006706	46.079314
0.777392	4.72657	0.01027	46.486662
0.756414	3.455515	0.002296	46.132001
0.731625	1.82867	0.021627	44.54787
0.704294	0.556787	0.014499	42.846344
0.678879	-0.814642	0.009303	41.209528
0.627404	-2.21092	-0.005437	39.74845
0.585126	-3.292898	0.016794	38.406536
0.548315	-3.948305	0.012203	37.165752
0.502972	-4.500927	0.01468	36.110608
0.466604	-5.243154	0.020479	34.979439
0.417711	-6.144865	0.02646	34.089427
0.390925	-6.235601	0.024104	33.262002
0.361153	-6.721358	0.005981	32.474533
0.331785	-7.4486	0.00882	31.792084
0.303949	-7.662902	0.007853	31.113878
0.267461	-7.847913	0.017096	30.512404
0.24368	-8.104157	0.020177	29.92967
0.204065	-8.771386	0.014922	29.389368
0.168888	-9.020702	0.014922	28.992982
0.128385	-9.077101	0.015405	28.648575
0.100046	-9.123712	0.009062	28.311947
0.079795	-9.72046	0.013955	27.980624
0.051092	-9.914733	0.029903	27.792508
0.024447	-9.892068	0.01758	27.535087
-0.000464	-10.184004	0.004712	27.420874
-0.038647	-10.78399	0.008095	27.244074
-0.068822	-10.771038	-0.00151	27.253975
-0.100348	-10.920733	0.019211	27.156381
-0.136897	-11.134283	0.040838	27.187144
-0.174193	-11.651138	0.011357	27.173
-0.219274	-11.795412	0.022231	27.289335
-0.260603	-11.844432	0.021144	27.304893
-0.306249	-12.080646	0.030387	27.471793
-0.345238	-12.576192	0.009303	27.470025
-0.37854	-12.848098	0.01323	27.703754
-0.424065	-13.016393	0.007431	27.806652
-0.463821	-13.008035	0.018486	28.055941
-0.496033	-13.531592	0.012988	28.249714
-0.532643	-13.804628	0.018063	28.533655
-0.589685	-13.75493	0.016613	28.645393
-0.628271	-14.141442	0.005195	28.997579
-0.659798	-14.549565	0.025493	29.245099
-0.68374	-14.80739	0.01468	29.559097
-0.725876	-14.827571	0.020661	29.709377
-0.767286	-15.136223	0.030568	30.088437
-0.813093	-15.689599	0.007189	30.457242
-0.892646	-15.84321	0.019513	30.760278
-0.948014	-15.993131	0.020177	31.18283
-0.986156	-16.208864	0.018486	31.433179
-1.035776	-16.758475	0.028876	31.823554
-1.074261	-17.156658	0.022896	32.21393
-1.107421	-17.127442	0.025795	32.494335
-1.155286	-17.437375	0.008155	32.969574
-1.203837	-17.856115	0.007853	33.292058
-1.252084	-18.27109	0.008337	33.659802
-1.292103	-18.372293	0.021748	34.09367
-1.319373	-18.616941	0.016311	34.499603
-1.357233	-19.103902	0.03377	34.921449
-1.40653	-19.583108	0.026037	35.301923
-1.445096	-19.580699	0.023802	35.854601
-1.479769	-19.752758	0.021627	36.262302
-1.479709	-19.728888	0.015103	36.28175
-1.462281	-18.132615	0.017096	35.626882
-1.411109	-15.265136	0.014619	34.376197
-1.388356	-13.015188	0.011297	33.143192
-1.359876	-11.416279	0.013713	32.297379
-1.364011	-11.202579	0.019936	32.151696
-1.359714	-11.201375	0.018486	32.062942
-1.362034	-11.327275	0.014922	32.10396
-1.336498	-9.871737	0.021204	31.397819
-1.311729	-8.035484	0.023319	30.095155
-1.305092	-7.060281	0.019029	29.284703
-1.287584	-6.239818	0.013774	28.399287
-1.278709	-5.583432	0.012263	27.535441
-1.269088	-4.822983	0.030628	26.757166
-1.250713	-4.365765	0.023319	26.137658
-1.249099	-4.099732	0.023621	25.631655
-1.242241	-4.245286	0.00737	25.446015
-1.239337	-3.80516	0.02501	25.242341
-1.22322	-3.068581	0.018969	24.511095
-1.206721	-2.396157	0.006404	23.347042
-1.162225	-1.754982	0.009303	22.22436
-1.128076	-0.804929	0.032562	20.942558
-1.089369	-0.210364	0.02646	19.781688
-1.060565	0.121179	-0.004229	18.648398
-1.027143	0.643231	0.026037	17.586536
-0.992228	1.421676	0.01027	16.503103
-0.956223	1.685902	0.022896	15.478369
-0.922196	1.849528	0.027427	14.498896
-0.863056	2.200047	0.027427	13.650254
-0.773257	2.666602	0.019754	12.652747
-0.729608	3.003116	0.028876	11.803045
-0.698222	2.988959	0.031776	11.167978
-0.657377	3.168172	0.033709	10.61919
-0.618246	3.407022	0.03232	10.074292
-0.582605	3.724786	0.010089	9.561217
-0.542587	3.566958	0.018969	9.3533
-0.484475	3.674712	0.02646	9.034706
-0.448592	3.991572	0.024648	8.657061
-0.40817	4.124325	0.014922	8.549566
-0.365893	4.293071	0.02211	8.421916
-0.328678	4.155197	0.008458	8.340588
-0.28156	4.197968	0.01468	8.251127
-0.232284	4.561815	0.011538	8.228851
-0.193718	4.497885	0.031353	8.156362
-0.155394	4.480717	0.031837	8.180761
-0.12183	4.774686	0.023621	8.150705
-0.08752	4.971745	0.004772	8.265271
-0.056639	4.835001	0.007431	8.339174
-0.027351	5.019259	0.02942	8.462227
-0.000242	5.260217	0.007612	8.543909
0.030821	5.45449	0.023077	8.718234
0.04728	5.374145	0.029903	8.828204
0.072856	5.443421	0.016069	9.019148
0.095043	5.705463	0.012565	9.11851
