Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
-0.054772	-8.515992	0.019256	65.46801
-0.035239	-6.697209	0.016819	64.725449
-0.019308	-5.090545	0.01493	64.028149
-0.009542	-4.078595	0.023704	63.58438
-0.003927	-3.449016	0.022912	63.217696
0.007569	-2.737813	0.014869	62.9136
0.009359	-2.320428	0.014442	62.728667
0.007406	-2.237298	0.020536	62.64062
0.01882	-2.014035	0.020292	62.511556
0.028953	-0.727016	0.0117	62.117645
0.042401	0.451571	0.025837	61.769702
0.069401	3.119883	0.020779	61.209599
0.085271	5.752276	0.01688	60.76972
0.121181	8.247926	0.020719	60.431324
0.142504	9.813402	0.015173	60.004528
0.142158	9.466347	0.01499	59.728366
0.139798	9.221172	0.017123	59.619457
0.13874	9.069067	0.011212	59.582683
0.135973	9.022683	0.016819	59.472359
0.105779	6.87454	0.017611	59.789186
0.075586	3.778828	0.020475	60.152687
0.065514	2.192494	0.012675	60.463855
0.062096	1.75267	0.021937	60.616257
0.057783	1.613216	0.01883	60.644899
0.059472	1.625866	0.02279	60.698646
0.057457	1.520447	0.020292	60.674601
0.057946	1.424967	0.011212	60.854584
0.057193	1.137097	0.016331	61.013704
0.054182	0.869332	0.021694	61.266175
0.052005	0.520846	0.022729	61.472678
0.036623	-0.99207	0.007312	61.918214
0.006267	-3.139988	0.017367	62.403001
-0.026633	-5.940751	0.010055	62.855963
-0.057803	-8.348225	0.018586	63.268969
-0.090479	-10.66263	0.014442	63.623984
-0.094589	-11.020227	0.017611	63.586855
-0.092921	-10.383118	0.016087	63.422431
-0.088729	-9.944875	0.016392	63.031349
-0.088302	-9.859711	0.018342	62.889909
-0.088485	-9.884937	0.026142	62.833333
-0.073755	-9.390972	0.016392	62.524639
-0.03823	-7.198101	0.023156	61.534558
-0.020041	-5.403715	0.011517	60.781035
-0.014893	-4.416991	0.013406	60.246037
-0.004578	-3.57439	0.014747	59.860259
0.002991	-2.93058	0.010237	59.50383
0.01001	-2.348364	0.01688	59.212463
0.011312	-2.335112	0.018769	59.139975
0.018128	-2.079395	0.012187	59.077741
0.027752	-1.033937	0.011944	58.752429
0.035972	0.141036	0.01365	58.411558
0.059818	2.08316	0.008105	57.984762
0.081466	4.549066	0.01298	57.605349
0.112005	7.038391	0.0117	57.346867
0.136319	9.191956	0.0156	57.025797
0.145271	10.011214	0.023887	56.650981
0.143237	9.66815	0.016819	56.329558
0.141873	9.508138	0.025167	56.273335
0.143155	9.271472	0.018769	56.199786
0.14169	9.190826	0.006398	56.121994
0.106837	5.945043	0.015844	56.513784
0.085433	3.351654	0.014625	56.877285
0.070296	2.192796	0.019744	57.055146
0.065413	1.662612	0.020536	57.161226
0.064884	1.539046	0.018403	57.21462
0.064029	1.523986	0.014869	57.228764
0.064029	1.449665	0.013772	57.234422
0.060143	1.231372	0.004205	57.358182
0.060408	1.034991	0.018342	57.604995
0.054914	0.762256	0.018342	57.806194
0.052066	0.165056	0.01365	58.104986
0.033123	-1.635429	0.015905	58.543097
0.00179	-3.997498	0.01694	58.964943
-0.028159	-6.443751	0.015112	59.386081
-0.060489	-8.824193	0.025167	59.796611
-0.093348	-11.000046	0.018037	60.127228
-0.103297	-11.302675	0.019561	60.083381
-0.101242	-10.725655	0.028275	59.860259
-0.094731	-10.209101	0.030042	59.405883
-0.085861	-9.721537	0.029859	59.119112
-0.08171	-9.553318	0.018342	59.03142
-0.05939	-8.882626	0.018525	58.679233
-0.03762	-7.069339	0.022973	57.793464
-0.020366	-5.460114	0.018037	57.075301
-0.009766	-4.414883	0.016819	56.534646
-0.001384	-3.555942	0.027787	56.162658
0.006246	-2.767707	0.014137	55.815069
0.014954	-2.24031	0.01688	55.650645
0.016338	-2.236996	0.020292	55.550576
0.020651	-1.857713	0.019804	55.373422
0.032045	-0.618585	0.022242	54.99613
0.049014	0.58342	0.015356	54.697691
0.070072	2.932763	0.017062	54.242254
0.090499	5.446862	0.012248	53.925428
0.121751	7.763676	0.016331	53.712914
0.142321	9.754066	0.021998	53.356484
0.146675	10.352998	0.018769	53.026575
0.147489	9.839305	0.014442	52.717528
0.146716	9.566119	0.019073	52.611094
0.145739	9.583588	0.020048	52.620995
0.139513	8.827582	0.013894	52.62347
0.108058	5.776146	0.019987	52.841996
0.092514	3.191191	0.019073	53.13902
0.079981	2.139709	0.009019	53.257476
0.071435	1.782564	0.016636	53.383712
0.069502	1.633095	0.016392	53.4219
0.072615	1.558172	0.023461	53.411646
0.06997	1.559377	0.020719	53.45726
0.069746	1.358779	0.014869	53.632293
0.069828	1.219023	0.012675	53.893957
0.065514	1.085517	0.024862	54.114958
0.061608	0.464146	0.019561	54.393241
0.041913	-1.474589	0.024436	54.805186
0.015931	-3.783873	0.020292	55.165505
-0.026877	-6.387804	0.009019	55.537846
-0.05349	-8.766363	0.017123	55.920796
-0.085148	-10.627163	0.017855	56.294551
-0.083846	-10.500133	0.023644	56.366332
-0.086858	-10.017313	0.014869	56.008842
-0.073246	-9.552715	0.019987	55.560477
-0.068363	-9.207242	0.019256	55.349377
-0.065433	-9.12509	0.021937	55.298459
-0.047223	-8.414489	0.023217	54.917984
-0.022564	-6.578387	0.023156	54.090559
-0.005961	-4.97993	0.029798	53.381944
0.00293	-4.003145	0.020048	52.946661
0.011048	-3.226958	0.017123	52.52623
0.016826	-2.630888	0.025654	52.181116
0.019675	-2.391737	0.020962	52.103324
0.018698	-2.287899	0.012736	52.055234
0.028403	-1.874354	0.019317	51.857218
0.044945	-0.742377	0.024619	51.530137
0.054589	0.438921	0.016575	51.16699
0.080062	2.787586	0.016575	50.76141
0.100673	5.174955	0.020353	50.489845
0.127611	7.504947	0.018342	50.379521
0.148689	9.469735	0.013406	50.24091
0.148262	9.807604	0.016331	50.186809
0.145332	9.363111	0.01755	49.919487
0.146309	8.972081	0.022242	49.879884
0.143705	8.838726	0.017611	49.881298
0.131924	8.131739	0.023156	49.908172
0.107916	5.100861	0.020231	50.18398
0.087631	2.738792	0.021694	50.577184
0.079248	1.978267	0.022729	50.673717
0.074446	1.570144	0.033211	50.825058
0.07349	1.486788	0.020292	50.731354
0.07292	1.470448	0.024679	50.734536
0.069401	1.328659	0.01688	50.851932
0.070865	1.224746	0.021694	51.044998
0.066471	1.07987	0.017123	51.319745
0.06232	0.668659	0.021998	51.561608
0.051333	-0.691626	0.018159	51.906368
0.025941	-2.694516	0.020353	52.330689
-0.007976	-5.221265	0.011456	52.814768
-0.048505	-8.002827	0.022669	53.287179
-0.077702	-10.140729	0.01365	53.654923
-0.093104	-11.032877	0.025837	53.687808
-0.097499	-10.557813	0.015356	53.626989
-0.088729	-10.130488	0.026629	53.219287
-0.082849	-9.766039	0.023887	52.913776
-0.081486	-9.535924	0.014381	52.839167
-0.079655	-9.509117	0.021206	52.802039
-0.03937	-7.578138	0.019987	51.861108
-0.022849	-5.934501	0.015844	51.099452
-0.01117	-4.710734	0.029737	50.529448
0.002686	-3.847426	0.017062	50.066938
0.011638	-3.111298	0.023887	49.645447
0.01764	-2.529685	0.017611	49.355494
0.017742	-2.259812	0.025106	49.275934
0.020834	-2.120734	0.015844	49.286188
0.025534	-1.827669	0.019256	49.073674
0.039288	-0.70661	0.012919	48.746948
0.054426	0.597577	0.020962	48.3396
0.081222	2.907463	0.027056	48.006154
0.10759	5.310494	0.014137	47.810967
0.132229	7.597716	0.02925	47.734236
0.149096	9.438336	0.02535	47.621083
0.152291	9.8506	0.028092	47.565568
0.149503	9.211609	0.0273	47.222222
0.119289	6.544728	0.030529	47.406448
0.119472	6.398421	0.021694	47.395133
0.118231	6.342022	0.028579	47.395133
0.111578	5.229096	0.011273	47.430493
0.090154	2.865897	0.023156	47.747319
0.083073	2.033462	0.022486	47.892649
0.080143	1.492435	0.020475	47.963722
0.077559	1.592659	0.022669	47.997314
0.077559	1.693108	0.022669	48.035503
0.075443	1.540025	0.026629	48.081118
0.070723	1.259911	0.028762	48.30035
0.068037	1.09508	0.0273	48.486344
0.065677	0.987402	0.019987	48.687543
0.061262	0.10429	0.017794	49.02417
0.048342	-1.442361	0.022669	49.315537
0.014568	-3.880257	0.016392	49.718642
-0.020183	-6.410394	0.027361	50.163825
-0.054141	-8.648971	0.0351	50.651087
-0.085698	-10.546066	0.026568	50.990543
-0.082687	-10.264446	0.023887	51.133398
-0.08464	-9.858883	0.018586	50.786516
-0.079289	-9.50362	0.021023	50.425843
-0.073246	-9.25724	0.024375	50.297486
-0.074813	-9.179682	0.024984	50.250811
-0.04291	-7.986562	0.025106	49.58887
-0.028424	-6.490738	0.010969	48.859039
-0.010763	-5.086027	0.032175	48.223972
0.001221	-4.100809	0.021754	47.726103
0.01585	-3.315209	0.017123	47.345629
0.019024	-2.685103	0.022242	47.041178
0.023825	-2.359584	0.016575	46.873218
0.021323	-2.270655	0.019561	46.888069
0.024822	-2.082181	0.015905	46.833261
0.041832	-1.028817	0.019561	46.495573
0.051923	0.186216	0.024862	46.152934
0.077783	2.191892	0.022973	45.764327
0.103114	4.556521	0.020719	45.547923
0.12875	6.992383	0.018403	45.475789
0.144864	8.913724	0.025106	45.478264
0.156482	9.7814	0.015173	45.353797
0.153735	9.287134	0.028031	45.064198
0.131619	7.080258	0.030103	45.065259
0.124193	6.370636	0.038756	45.143404
0.119635	6.342097	0.018525	45.150476
0.11697	5.891204	0.021511	45.188312
0.100266	3.368973	0.03315	45.45139
0.091232	2.020736	0.011944	45.649407
0.085677	1.621122	0.022181	45.683352
0.0823	1.58528	0.022059	45.776349
0.082666	1.566756	0.021206	45.758669
0.080001	1.563894	0.025837	45.846009
0.077559	1.407573	0.026081	45.96199
0.077051	1.228661	0.036075	46.141619
0.071272	1.021437	0.013711	46.370752
0.061852	0.135916	0.020779	46.696064
0.043846	-1.78663	0.030042	47.042947
0.019553	-3.654961	0.026142	47.465146
-0.01587	-6.007918	0.030286	47.935081
-0.053246	-8.296495	0.022729	48.393701
-0.079045	-10.201797	0.029737	48.82085
-0.092473	-10.69915	0.029311	48.80812
-0.091578	-10.160834	0.025594	48.717245
-0.0858	-9.757906	0.027361	48.325456
-0.081974	-9.439164	0.025411	48.157495
-0.078312	-9.426514	0.02669	48.063438
-0.065108	-8.853711	0.021511	47.79753
-0.032086	-7.250962	0.013223	46.904335
-0.018657	-5.667941	0.031261	46.166017
-0.006104	-4.446283	0.023461	45.578687
0.006083	-3.684478	0.018586	45.154366
0.016908	-2.907839	0.016087	44.830821
0.020427	-2.435109	0.030042	44.622551
0.021079	-2.241213	0.034368	44.569157
0.021384	-2.33481	0.024923	44.526725
0.035565	-1.422482	0.022242	44.248088
0.047183	-0.118973	0.023704	43.891305
0.07585	1.676844	0.020231	43.548666
0.098068	4.077089	0.017367	43.290537
0.128689	6.360771	0.021511	43.272857
0.146166	8.38708	0.033211	43.331555
0.15813	9.796535	0.018525	43.222293
0.158354	9.566119	0.013955	43.017204
0.14226	7.973083	0.026812	42.924207
0.123948	6.140295	0.016819	42.970529
0.123053	6.097826	0.029981	42.946484
0.120368	5.996924	0.014381	42.937998
0.114243	4.078746	0.026386	43.152987
0.093409	2.296106	0.021267	43.372573
0.088038	1.771119	0.018342	43.458851
0.086593	1.63061	0.020353	43.559274
0.089197	1.578653	0.026081	43.508002
0.088607	1.544919	0.019073	43.539472
0.085047	1.468415	0.021023	43.650856
0.082341	1.234309	0.027056	43.737135
0.079411	1.095833	0.020536	44.013297
0.075606	0.8298	0.030286	44.259403
0.058983	-0.131322	0.035404	44.568803
0.041486	-2.256273	0.020048	44.905785
0.015951	-4.561943	0.015356	45.255142
-0.024253	-7.094037	0.023156	45.798273
-0.057152	-8.985259	0.036136	46.162835
-0.081812	-10.404578	0.026568	46.54932
-0.081873	-10.135232	0.036318	46.584327
-0.082931	-9.767244	0.019012	46.323016
-0.07701	-9.471769	0.028092	46.000532
-0.076522	-9.364015	0.021511	45.926983
-0.075952	-9.313866	0.022912	45.858738
-0.04761	-8.361779	0.024131	45.317022
-0.025066	-6.658882	0.020475	44.477221
-0.01296	-5.275706	0.032479	43.822353
0.000326	-4.291693	0.036379	43.270736
0.013754	-3.584556	0.025167	42.90582
0.017315	-2.896846	0.031992	42.536661
0.02175	-2.488497	0.015173	42.332634
0.022035	-2.413724	0.0273	42.302931
0.020977	-2.337596	0.021267	42.268985
0.039065	-1.375796	0.021694	41.9267
0.052228	-0.321077	0.017794	41.68802
0.073388	1.341234	0.020719	41.359525
0.090235	3.567086	0.017367	41.104932
0.125271	5.853479	0.036075	41.074169
0.144864	8.016381	0.033698	41.20288
0.161487	9.634792	0.023887	41.197929
0.161446	9.688631	0.023704	41.170349
0.158232	8.758833	0.012919	40.907977
0.130622	5.952648	0.021998	40.900198
0.130113	5.734506	0.016148	40.902673
0.125251	5.707473	0.029006	40.891711
0.120937	5.040019	0.025106	40.94263
0.104599	2.712362	0.023461	41.237886
0.098882	1.8105	0.015356	41.266174
0.096196	1.608095	0.016697	41.448279
0.09113	1.627372	0.020292	41.405139
0.090642	1.606665	0.021206	41.464191
0.090235	1.549663	0.023217	41.495307
0.08936	1.418115	0.026934	41.731866
0.084619	1.237396	0.008836	41.869063
0.079899	0.99945	0.0273	42.153004
0.077397	0.608495	0.038268	42.42068
0.053897	-1.504709	0.024619	42.850658
0.024802	-3.879955	0.033881	43.131771
-0.007813	-6.377789	0.020536	43.574479
-0.049665	-8.721108	0.018769	44.019662
-0.084314	-10.620462	0.020779	44.458834
-0.086044	-10.734992	0.027787	44.427363
-0.087875	-10.093366	0.025472	44.323758
-0.084619	-9.790511	0.012919	43.972279
-0.077152	-9.473576	0.025411	43.813866
-0.075789	-9.510849	0.016392	43.752693
-0.052005	-8.597994	0.028275	43.232547
-0.03233	-7.118811	0.028336	42.378248
-0.016358	-5.615533	0.016819	41.63993
-0.000081	-4.563674	0.028579	41.130745
0.011801	-3.808647	0.020536	40.713143
0.01587	-3.023951	0.02535	40.386416
0.02059	-2.496328	0.018586	40.126166
0.022116	-2.406194	0.020048	40.115205
0.023846	-2.40386	0.031261	40.089392
0.034344	-1.730984	0.029311	39.863087
0.048729	-0.595769	0.029128	39.554394
0.065901	0.892826	0.030286	39.233678
0.091313	3.0488	0.027787	38.943726
0.120775	5.187606	0.015356	38.863105
0.141263	7.303445	0.034125	38.991816
0.157153	9.089624	0.029006	39.118051
0.168547	9.686523	0.029006	39.001716
0.166085	9.377569	0.02925	38.734748
0.13756	7.300207	0.023704	38.74571
0.13109	5.870346	0.030956	38.737223
0.131517	5.74806	0.021206	38.692316
0.129869	5.852575	0.025411	38.691962
0.116441	3.387196	0.019012	38.841535
0.106451	1.974051	0.025411	38.924278
0.098455	1.656663	0.030468	39.094006
0.09992	1.517811	0.016148	39.133609
0.101385	1.543413	0.013223	39.074204
0.100266	1.449364	0.025594	39.006313
0.101975	1.338222	0.030468	39.193014
0.095301	1.18318	0.0273	39.389263
0.093755	1.009992	0.022242	39.626882
0.08757	0.85239	0.021937	39.767969
0.073144	-0.319872	0.028031	40.147382
0.0529	-2.717106	0.031931	40.392074
0.022523	-4.949208	0.034429	40.680612
-0.017437	-7.199532	0.026873	41.125088
-0.050235	-9.116656	0.011517	41.653721
-0.086023	-10.722643	0.026629	41.959585
-0.084782	-10.467303	0.034856	42.057179
-0.085047	-10.0015	0.027056	41.756972
-0.080957	-9.736446	0.027787	41.457119
-0.075464	-9.578091	0.034186	41.394885
-0.075769	-9.555502	0.023887	41.373669
-0.041771	-8.348526	0.028823	40.697585
-0.027528	-6.769346	0.024192	39.847883
-0.009624	-5.327211	0.03059	39.200086
0.00531	-4.356902	0.024192	38.62301
0.017233	-3.601423	0.019073	38.19869
0.022055	-3.003771	0.023278	37.884692
0.024904	-2.620798	0.015234	37.712135
0.025616	-2.511388	0.025594	37.719207
0.024659	-2.503481	0.025411	37.696577
0.043602	-1.731285	0.023217	37.386469
0.055931	-0.400217	0.028579	37.083433
0.077539	1.315105	0.033698	36.819294
0.099126	3.286144	0.018281	36.565055
0.129706	5.361397	0.026203	36.529695
0.145922	7.282437	0.018342	36.65982
0.161467	8.945576	0.027848	36.806564
0.169341	9.6116	0.020779	36.755646
0.170338	9.198883	0.022181	36.516965
0.14224	7.187559	0.025411	36.505296
0.136299	5.800393	0.0273	36.474533
0.135729	5.698136	0.023887	36.43493
0.133613	5.670125	0.023704	36.431748
0.120429	3.429213	0.034429	36.597233
0.110581	2.087602	0.028092	36.70791
0.107916	1.645218	0.024923	36.760242
0.105881	1.523459	0.020292	36.80515
0.106451	1.575265	0.032479	36.771558
0.104884	1.617207	0.023156	36.880467
0.099025	1.399666	0.017611	36.995033
0.099208	1.263901	0.018525	37.215326
0.099126	1.08371	0.026325	37.378336
0.095362	0.857811	0.019987	37.645305
0.073144	-0.772798	0.021206	37.909798
0.053714	-3.047143	0.016148	38.178888
0.02295	-5.233614	0.027787	38.533549
-0.025819	-7.591692	0.017794	38.991816
-0.062931	-9.372298	0.024862	39.502415
-0.085922	-10.637103	0.02535	39.79555
-0.089604	-10.414217	0.024923	39.833738
-0.084823	-9.9323	0.024619	39.551919
-0.079126	-9.575607	0.024436	39.202561
-0.078638	-9.499403	0.030225	39.117697
-0.075199	-9.428697	0.021694	39.080923
-0.042076	-8.226617	0.024192	38.367003
-0.027508	-6.779888	0.028092	37.60853
-0.008159	-5.379921	0.027604	36.949419
0.00413	-4.540633	0.029737	36.450488
0.016419	-3.722128	0.033211	36.006366
0.019614	-3.06017	0.022242	35.672214
0.024273	-2.614322	0.039	35.494353
0.023113	-2.570422	0.022912	35.433533
0.024008	-2.533676	0.025654	35.416207
0.045148	-1.74002	0.023156	35.080993
0.060367	-0.551719	0.027848	34.837716
0.074792	0.878895	0.018525	34.544935
0.097499	2.90543	0.022242	34.328532
0.127936	4.930307	0.018098	34.280795
0.1411	6.826724	0.022669	34.44628
0.158374	8.525104	0.02145	34.616009
0.176258	9.672668	0.025837	34.60434
0.182301	9.783584	0.030468	34.539631
0.178964	9.05973	0.033881	34.24685
0.151762	6.393301	0.028031	34.109299
0.152087	5.786387	0.027056	34.10541
0.150887	5.7583	0.026629	34.081365
0.14696	5.503863	0.029311	34.111067
0.130439	3.279442	0.031992	34.130869
0.121344	2.040615	0.026142	34.249679
0.118842	1.697626	0.021937	34.358234
0.117743	1.669238	0.02535	34.361416
0.118109	1.638516	0.02145	34.389704
0.116787	1.660805	0.027543	34.464314
0.11524	1.458174	0.023461	34.555189
0.113775	1.339201	0.024679	34.785383
0.112555	1.112625	0.031992	35.000373
0.106695	1.037627	0.025167	35.212533
0.095037	-0.146759	0.031931	35.494353
0.070214	-2.354464	0.026629	35.574973
0.044497	-4.347264	0.024192	35.802339
0.013571	-6.260623	0.023156	36.133662
-0.029624	-8.25764	0.017367	36.570713
-0.064477	-9.690739	0.029493	37.014835
-0.083114	-10.471745	0.024497	37.181027
-0.086329	-10.076875	0.03254	37.14885
-0.080998	-9.643075	0.024436	36.81399
-0.079126	-9.395189	0.036562	36.642847
-0.077397	-9.356937	0.030529	36.617034
-0.072371	-9.138343	0.031687	36.444477
-0.029726	-7.592294	0.019561	35.601847
-0.013205	-6.11522	0.009811	34.842313
0.005107	-5.012158	0.019987	34.185677
0.014547	-4.161952	0.031261	33.713267
0.025046	-3.443294	0.022486	33.314405
0.031252	-2.909797	0.027361	33.023038
0.0353	-2.675164	0.024619	32.893267
0.030662	-2.488195	0.029554	32.883366
0.039471	-2.370728	0.029981	32.856492
0.053449	-1.415027	0.029006	32.505721
0.061181	-0.312116	0.019804	32.222487
0.085677	1.436036	0.027665	31.901771
0.113613	3.493518	0.035343	31.739115
0.135098	5.342045	0.03315	31.816553
0.148262	7.052773	0.029311	31.990525
0.166757	8.549802	0.033942	32.195613
0.187571	9.560321	0.030956	32.266687
0.186045	9.609416	0.017915	32.271991
0.182525	8.706199	0.028092	31.945617
0.156807	6.005283	0.021023	31.827868
0.157397	5.608906	0.014381	31.75043
0.154773	5.495731	0.036318	31.675113
0.148099	4.800792	0.024192	31.707998
0.13288	2.566507	0.01493	31.724971
0.129076	1.945136	0.029067	31.831051
0.125393	1.728198	0.035648	31.915561
0.126777	1.680985	0.027543	31.935363
0.126227	1.75508	0.015173	31.932534
0.125413	1.732113	0.029006	32.016338
0.121812	1.5401	0.033759	32.122418
0.122545	1.439199	0.036136	32.3908
0.122952	1.239956	0.031017	32.536484
0.116278	1.120456	0.023461	32.750059
0.10814	-0.150975	0.027604	33.024099
0.075342	-2.286694	0.026386	33.078554
0.054426	-4.365863	0.019256	33.201607
0.017721	-6.221166	0.034125	33.570412
-0.03233	-8.274733	0.032479	34.03575
-0.065535	-9.686523	0.02145	34.539631
-0.088465	-10.438087	0.021206	34.720321
-0.087346	-10.024692	0.03315	34.744366
-0.083358	-9.530126	0.035587	34.474569
-0.078699	-9.324408	0.030712	34.245082
-0.077417	-9.314468	0.029006	34.196992
-0.072778	-9.085859	0.03315	33.980942
-0.034527	-7.49704	0.018037	33.081382
-0.020692	-6.077269	0.028518	32.290378
0.000244	-4.851695	0.028092	31.607222
0.014466	-4.012558	0.031687	31.184669
0.019675	-3.430568	0.029493	30.809852
0.028139	-2.766502	0.025594	30.509999
0.030906	-2.69301	0.026629	30.41382
0.028973	-2.667634	0.031931	30.390836
0.037091	-2.191214	0.019622	30.201306
0.056135	-1.059614	0.018525	29.897209
0.072188	0.180493	0.026081	29.593113
0.096013	2.018854	0.046312	29.31589
