Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	0.32033	0	98.182
0.044625	2.9629	0.0060496	97.812
0.092103	5.4882	0.0033055	96.389
0.13267	7.4309	0.0021205	93.949
0.17517	9.0919	0.014282	90.971
0.2103	10.282	0.017525	88.429
0.20807	10.075	-0.0062367	87.907
0.20822	9.7395	0.0025571	87.324
0.20482	9.5871	-0.011476	87.03
0.21076	9.5303	0.012598	86.875
0.15049	7.2792	-0.0087314	86.798
0.11853	4.3133	0.0080454	86.654
0.10835	2.1927	-0.0044904	86.494
0.096684	1.7781	-0.012162	86.472
0.093957	1.3761	-0.012972	86.568
0.092207	1.0678	0.0014968	86.722
0.082108	0.8464	0.022452	86.839
0.081129	0.60377	0.00049894	87.029
0.074466	0.38145	-0.0082325	87.295
0.071113	0.14191	0.0062991	87.559
0.069322	-0.04644	-0.0001871	87.851
0.058369	-0.45613	-0.00099788	88.145
0.036566	-1.6273	-0.010478	88.291
0.0074965	-3.3167	0.0029936	88.042
-0.02099	-5.1617	0.00081077	87.427
-0.039919	-6.9346	-0.0012473	86.358
-0.061555	-8.4947	-0.0044904	84.79
-0.089813	-9.842	0.013222	83.023
-0.10345	-10.278	-0.0019958	82.222
-0.10364	-9.7988	0.011476	81.657
-0.10281	-9.4426	-0.0024323	81.163
-0.098038	-9.3486	0.00031184	81
-0.10147	-9.2873	-0.011476	80.92
-0.093457	-9.0502	-0.010228	80.559
-0.06699	-7.8563	-0.0026818	80.03
-0.054079	-6.7809	-0.0054883	79.537
-0.048394	-6.0407	-0.011912	79.112
-0.047499	-5.3871	-0.0012473	78.654
-0.040252	-4.8889	0.0027442	78.262
-0.037566	-4.4964	-0.0039291	77.938
-0.036504	-4.1366	0.004241	77.673
-0.037233	-3.7416	0.0013721	77.381
-0.033485	-3.3775	-0.0022452	77.09
-0.023323	-2.0299	-0.010727	76.867
0.0045604	0.68341	-0.003742	76.429
0.035963	3.3585	-0.0054883	75.939
0.082857	5.8563	0.025508	75.475
0.11476	7.8993	-0.0054883	74.908
0.15918	9.722	0.0072346	73.967
0.19083	10.413	0.0025571	73.355
0.1885	10.095	-0.0058625	72.823
0.19158	9.9055	0.0041162	72.636
0.18689	9.8139	0.0024947	72.506
0.18516	9.7008	-0.00062367	72.54
0.12142	6.9052	0.016964	72.427
0.099287	4.246	0.012972	72.281
0.076777	2.2074	-0.0082325	72.176
0.073195	1.8608	-0.010914	72.17
0.067635	1.5764	-0.0019958	72.317
0.065032	1.3542	-0.01397	72.503
0.05864	1.1119	0.024947	72.797
0.051872	0.90398	0.0059873	73.028
0.050456	0.68084	6.24E-05	73.29
0.042043	0.47631	0.0075464	73.601
0.03438	0.27323	-0.004241	73.915
0.030882	0.090862	0.021766	74.289
0.012078	-0.84551	0.0039915	74.791
-0.010745	-2.6362	0.0077959	74.897
-0.035255	-4.7926	0.012286	74.816
-0.049081	-7.0548	0.003742	74.525
-0.071238	-9.0882	-0.0019958	73.954
-0.10862	-10.422	-0.00043657	72.973
-0.10855	-10.265	-0.0024323	72.873
-0.10462	-9.719	0.027504	72.245
-0.10364	-9.5776	0.0003742	72.079
-0.10329	-9.519	0.0044904	72.019
-0.10281	-9.4322	0.0073593	71.862
-0.082149	-8.6048	-0.0072346	71.313
-0.070717	-8.0274	-0.017151	71.068
-0.066157	-7.8828	0.012848	71.02
-0.062992	-7.1762	-0.0052389	70.677
-0.053829	-6.4468	-0.00068604	70.261
-0.050414	-5.6865	-0.0034302	69.837
-0.047166	-5.0711	-0.0046775	69.478
-0.044167	-4.5454	0.0039915	69.117
-0.039378	-4.1007	0.017775	68.792
-0.037816	-3.7796	-0.003742	68.522
-0.032818	-3.4344	0.02133	68.168
-0.035484	-3.1811	-0.01765	67.972
-0.024884	-2.4774	0.0054883	67.818
-0.0028945	-0.073861	0.0092927	67.489
0.022969	2.5322	-0.0019334	67.214
0.06195	4.9992	0.003056	66.959
0.10687	7.2759	0.014282	66.784
0.15235	9.2529	-0.0029313	66.343
0.16892	9.984	-0.00024947	66.054
0.16834	9.6803	-0.0036797	65.72
0.1639	9.5575	-0.0031807	65.636
0.16917	9.4782	0.013534	65.55
0.15699	8.9441	0.0058002	65.541
0.1032	5.9482	-0.0069851	65.345
0.074049	3.3637	0.0033055	65.285
0.062638	1.8502	-0.0026818	65.185
0.056974	1.5511	0.007297	65.243
0.051955	1.3118	0.0036173	65.534
0.050227	1.1328	0.0073593	65.659
0.038149	0.88533	0.0033055	65.92
0.034213	0.67455	-0.0032431	66.211
0.029549	0.49166	0.0018087	66.494
0.026488	0.29999	0.004241	66.867
0.016992	0.076483	0.011039	67.232
0.010641	-0.091682	6.24E-05	67.5
-0.012078	-1.1824	0.013534	67.953
-0.028653	-3.0965	-0.00024947	68.072
-0.049331	-5.5471	0.0074841	68.199
-0.060243	-7.781	-0.00049894	68.072
-0.092062	-9.4988	-0.0066109	67.742
-0.10847	-10.219	0.0022452	67.357
-0.11137	-9.9314	-0.0084196	67.22
-0.10701	-9.459	-0.0049894	66.589
-0.10112	-9.3301	0.0033055	66.443
-0.10237	-9.2659	0.0065486	66.318
-0.098454	-9.0664	0.0063615	66.188
-0.068739	-7.8654	-0.013658	65.679
-0.059722	-6.8829	-0.011663	65.208
-0.053559	-6.0574	-0.011476	64.858
-0.048165	-5.3092	0.00099788	64.367
-0.043251	-4.6354	0.0022452	63.982
-0.039586	-4.1221	0.022515	63.586
-0.038253	-3.7196	-0.0019334	63.263
-0.034172	-3.3855	0.012536	62.952
-0.033235	-3.0763	0.00049894	62.689
-0.028341	-2.7885	-0.01291	62.394
-0.022427	-2.1295	0.0043033	62.28
-0.002603	0.235	-0.0019958	61.952
0.019137	2.5073	-0.0034926	61.806
0.059368	4.9706	0.01185	61.637
0.10668	7.2488	0.0089809	61.576
0.15033	9.2663	-0.0062367	61.443
0.16957	9.9542	-0.0016839	61.203
0.16826	9.6511	-0.0024323	60.835
0.17	9.5075	0.00081077	60.846
0.1644	9.4456	-0.0019334	60.79
0.15349	8.9321	0.0058002	60.76
0.10354	5.921	0.01185	60.544
0.076111	3.3566	-0.00012473	60.447
0.058785	1.8293	0.006798	60.306
0.053371	1.4888	-0.0056754	60.417
0.047707	1.2521	-0.012411	60.581
0.043459	1.0794	0.014968	60.822
0.034796	0.85164	0.018523	61.11
0.02655	0.66497	0.00099788	61.375
