Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	-0.10612	0	98.55
0.055631	2.6043	-0.039544	98.061
0.092483	5.5235	-0.0089215	96.517
0.13902	8.0577	-0.024896	93.632
0.17365	9.9895	-0.036228	90.675
0.20527	11.697	-0.028211	87.648
0.23047	13.182	-0.019953	84.707
0.24547	14.105	-0.027789	82.494
0.24577	13.844	-0.047079	82.029
0.24166	13.497	-0.030924	81.525
0.2419	13.372	-0.029718	81.289
0.24007	13.291	-0.022424	81.144
0.24152	13.206	-0.015733	81.034
0.20552	10.781	-0.0062691	81.037
0.1833	7.8405	-0.020013	81.04
0.16768	5.4194	-0.028513	81.043
0.15433	3.8747	-0.044849	81.112
0.14811	2.908	-0.028211	81.184
0.14008	2.7066	-0.019049	81.119
0.13298	2.4565	-0.014045	81.139
0.13338	2.0756	-0.0017481	81.268
0.12742	1.6728	-0.015492	81.389
0.12477	1.2405	-0.01284	81.514
0.11802	0.73856	-0.0089818	81.588
0.10907	0.31236	-0.019591	81.658
0.098601	-0.18054	-0.024172	81.86
0.09522	-0.73926	-0.042256	82.018
0.071954	-2.1925	-0.029718	82.286
0.031478	-4.4296	-0.020013	82.1
-0.019422	-6.8779	-0.021279	81.658
-0.054262	-8.6967	-0.01718	81.002
-0.087834	-10.717	-0.00645	79.946
-0.12996	-12.459	-0.015251	78.593
-0.19026	-14.047	-0.009886	77.031
-0.20266	-14.347	-0.02363	76.483
-0.19992	-13.823	-0.011393	75.853
-0.17671	-12.478	0.0094037	75.13
-0.17198	-12.377	-0.01067	74.999
-0.1739	-12.348	-0.022665	75.022
-0.16955	-12.307	-0.023931	74.992
-0.13189	-11.529	-0.016698	74.644
-0.10629	-9.6391	-0.032129	73.922
-0.094858	-8.4531	-0.029899	73.38
-0.092765	-7.3834	-0.013563	72.824
-0.086203	-6.3884	-0.02369	72.415
-0.076885	-5.4913	-0.016155	72.003
-0.069981	-4.663	-0.011152	71.644
-0.062091	-4.1408	-0.022906	71.265
-0.062655	-3.804	-0.025378	70.93
-0.05557	-3.6124	-0.039845	70.748
-0.05877	-3.5993	-0.020254	70.678
-0.049693	-2.912	-0.018868	70.432
-0.02858	-1.3849	-0.026825	69.982
0.0026567	0.99583	-0.0089818	69.302
0.03653	3.1162	-0.011092	68.612
0.081373	5.513	0.0003014	68.027
0.11639	7.8665	-0.029899	67.306
0.15417	9.9653	-0.015191	66.691
0.17543	11.732	-0.025559	65.921
0.21262	13.195	-0.026584	64.999
0.23293	14.241	-0.024414	63.846
0.23571	14.109	-0.0070528	63.683
0.2354	13.715	-0.016878	63.355
0.23436	13.595	-0.042256	63.215
0.23736	13.497	-0.0095846	63.154
0.23683	13.456	-0.027789	63.162
0.20183	11.412	-0.013804	63.072
0.18028	8.6197	-0.01067	62.99
0.16003	6.1957	-0.028935	62.932
0.136	4.0422	-0.027066	63.019
0.12654	2.8398	-0.010911	63.13
0.11617	2.297	-0.022243	63.121
0.11486	2.2476	-0.027307	63.064
