Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	0.008531	0	98.601973
0.061507	2.719237	0.002889	98.825095
0.101618	5.41172	-0.004366	97.376747
0.149897	7.102343	-0.000514	95.02495
0.183512	9.034828	-0.000706	92.111989
0.203428	10.077274	0.009053	89.326324
0.205057	9.892339	-0.016887	88.852499
0.201456	9.412832	0.002825	87.924297
0.209259	9.301313	-0.008732	87.627626
0.204007	9.186632	0.028508	87.433853
0.206837	9.072328	0.007256	87.327773
0.163617	7.053248	0.001348	86.880822
0.136626	3.941573	-0.007962	85.979494
0.127365	2.944006	0.000578	85.692017
0.124728	2.396051	-0.005072	85.533604
0.120762	2.491606	0.006934	85.641806
0.124021	2.28762	-0.009439	85.631551
0.119561	2.163	-0.012071	85.702271
0.115531	1.984389	-0.007127	85.821435
0.110729	1.679577	0.005907	85.900288
0.101811	1.353304	-0.002568	85.954035
0.093235	0.768755	0.001027	86.118459
0.063479	-0.922245	-0.002825	85.728084
0.024718	-3.951618	0.001027	84.746489
0.004995	-6.713376	0.010787	83.424023
-0.036938	-9.0012	0.001092	81.965421
-0.061914	-10.569913	0.006678	80.668768
-0.058741	-10.280989	-0.004366	80.609363
-0.058891	-9.785368	-0.012777	80.235253
-0.059749	-9.637329	-0.006421	80.183628
-0.05754	-9.587105	0.015153	80.046077
-0.058205	-9.581307	-0.001027	80.006827
-0.054368	-9.526187	-0.005072	80.033701
-0.052824	-9.165955	0.003339	79.740566
-0.022017	-8.031041	0.002825	79.505775
-0.002744	-6.882875	0.001541	79.3265
0.009197	-5.75519	-0.00488	79.213348
0.013999	-4.866054	0.003917	79.125301
0.024032	-4.116147	-0.020803	78.96017
0.020688	-3.970292	-0.00122	78.847725
0.028213	-3.658251	0.001541	78.814486
0.041612	-2.351429	0.005393	78.907483
0.05113	-0.581214	0.000321	78.79716
0.081508	1.839739	0.001605	78.959816
0.119712	4.359861	-0.023629	79.002602
0.159844	6.990825	-0.000193	78.835702
0.183598	8.820677	0.008219	78.34349
0.203428	10.004384	-0.010016	77.331839
0.205593	9.751679	0.008732	76.818411
0.207459	9.587828	0.002568	76.47648
0.206151	9.343255	0.000578	76.334332
0.205143	9.380001	-0.000257	76.326553
0.202292	9.131438	0.000064	76.276695
0.15978	6.61252	-0.00199	75.579749
0.132918	3.845491	0.010594	74.88068
0.122113	2.480462	0.017529	74.650486
0.117418	2.05118	-0.006164	74.606286
0.118168	2.064357	-0.001541	74.654729
0.116989	2.018123	-0.019776	74.616541
0.109764	1.951785	0.006999	74.720853
0.111008	1.704878	-0.008347	74.784501
0.105498	1.460832	-0.010145	74.948925
0.091584	1.064832	-0.003018	75.04758
0.082259	0.425088	0.021124	75.104509
0.043734	-1.762888	-0.012777	74.866536
0.015264	-4.491063	-0.014639	74.333307
