Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	0.14986	0	98.474
0.029056	3.0401	-0.007779	98.369
0.051524	5.7108	-0.00018973	97.221
0.081087	7.8578	-0.0017076	95.207
0.10801	9.7544	-0.0065774	92.724
0.13278	11.408	0.0030357	90.165
0.1479	12.241	0.020301	88.495
0.14661	11.962	-0.0022135	87.783
0.15179	11.688	-0.0075261	87.255
0.14748	11.587	0.0030357	87.132
0.14798	11.48	0.00234	86.949
0.15219	11.449	6.32E-05	86.875
0.1445	10.506	-0.0032255	86.757
0.1033	7.3027	-0.0091072	86.287
0.088964	5.186	-0.0047433	86.006
0.075006	3.7915	-0.0019606	85.877
0.068248	2.6207	0.0020238	85.776
0.063751	1.6198	0.0061347	85.635
0.056571	0.91177	-0.014609	85.486
0.04578	0.32257	-0.00094866	85.467
0.039952	-0.088195	-0.011321	85.467
0.036743	-0.3554	0.0020871	85.544
0.027008	-0.53477	-0.0012016	85.647
0.0261	-0.69252	-0.0057552	85.675
0.014676	-2.1497	0.0015811	85.686
-0.0086789	-4.763	-0.0070201	84.94
-0.063286	-7.1209	-0.010815	83.745
-0.10911	-9.2481	0.00075893	82.169
-0.13912	-11.013	0.0046168	80.371
-0.15134	-12.162	0.0056287	78.847
-0.14927	-12.038	-0.0030357	78.744
-0.14944	-11.508	0.0073996	78.217
-0.14613	-11.374	0.00031622	78.052
-0.14961	-11.294	0.00082217	78.007
-0.13373	-10.163	6.32E-05	77.743
-0.11692	-8.8727	0.0041109	77.484
-0.11701	-8.0667	0.0091704	77.21
-0.10742	-7.1257	0.0084115	76.98
-0.091751	-6.1297	0.014293	76.71
-0.089724	-5.2664	-0.0024665	76.537
-0.077645	-4.5374	0.023527	76.36
-0.070128	-3.8781	0.010182	76.222
-0.064722	-3.3185	0.0099293	76.112
-0.058619	-2.9042	0.0017708	76.013
-0.04823	-2.34	0.012396	76.003
-0.026966	-1.5967	-0.00050595	75.838
-0.0092279	-0.72651	0.005439	75.654
0.011551	1.0084	0.011004	75.487
0.031231	3.4552	0.012016	75.277
0.051503	5.9371	-0.005439	75.166
0.086556	8.24	0.0081585	74.958
0.11308	10.329	-0.00018973	74.474
0.13512	12.042	-0.020618	73.782
0.14036	12.408	-0.0012649	73.361
0.13998	12.015	-0.0098661	72.914
0.14188	11.868	-0.0077158	72.646
0.14156	11.791	0.0086644	72.551
0.14553	11.733	0.010182	72.582
0.14283	11.659	-0.0017708	72.495
0.10212	8.6909	0.010372	72.005
0.07642	5.6859	0.012396	71.514
0.066052	3.7417	0.0080952	71.412
0.049222	2.5059	0.0035417	71.343
0.044345	1.5829	0.011131	71.406
0.0401	1.2147	0.0083482	71.291
