Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	-0.026974	0	98.492
0.040164	2.8742	0.009735	97.868
0.063621	5.8808	0.0057666	96.356
0.10138	8.2701	-0.009611	94.52
0.13617	10.59	0.013145	92.219
0.17004	12.475	-0.0014262	89.916
0.18459	13.532	0.015192	88.533
0.18701	13.222	0.0037824	87.909
0.18293	12.944	0.009487	87.591
0.18281	12.845	-0.0042165	87.495
0.18724	12.739	0.015936	87.377
0.1359	9.7629	-0.0034104	87.538
0.10776	6.6192	0.0077508	87.655
0.087782	3.9932	0.00074408	87.772
0.075112	2.8342	0.0072548	87.71
0.069501	2.0447	0.0064487	87.876
0.063766	1.6364	0.0059526	88.088
0.063787	1.1832	0.0081849	88.275
0.05416	0.86871	0.01885	88.485
0.044305	0.49076	6.20E-05	88.749
0.047141	0.052637	-0.0017362	88.984
0.040123	-0.41707	0.0020462	89.177
0.030972	-1.0345	0.014882	89.511
0.026272	-1.7013	0.0072548	89.772
0.010621	-2.7517	0.011161	89.974
-0.018612	-4.5071	-0.0053946	89.863
-0.042814	-6.373	0.008929	89.249
-0.069377	-8.2684	0.011967	88.132
-0.10996	-9.925	0.0070068	86.628
-0.1412	-11.226	0.011161	85.253
-0.18401	-12.578	0.015936	83.489
-0.20355	-13.051	0.0066967	82.626
-0.20196	-12.655	6.20E-05	82.097
-0.17946	-11.495	0.0017362	81.211
-0.16538	-10.95	0.00049605	80.856
-0.1648	-10.907	0.011409	80.807
-0.1653	-10.85	-0.0014262	80.752
-0.14095	-9.5846	0.0086809	80.085
-0.13234	-8.3196	0.021144	79.392
-0.1247	-7.1298	0.032057	78.796
-0.11875	-6.2287	0.010665	78.217
-0.10689	-5.4878	0.018912	77.781
-0.1007	-4.7179	0.02288	77.381
-0.09538	-4.1431	0.023811	76.938
-0.0895	-3.8696	0.013641	76.567
-0.089169	-3.659	0.021578	76.261
-0.078672	-3.106	0.010045	75.945
-0.078238	-2.2547	0.028523	75.639
-0.051096	0.26183	0.017114	74.847
-0.025838	2.7884	0.020586	74.18
-0.0046168	5.3895	0.027531	73.507
0.036686	7.9358	0.017734	72.947
0.062855	10.222	0.025175	72.332
0.10387	12.017	0.024369	71.735
0.12805	13.385	0.019408	71.08
0.12538	13.236	0.027097	70.849
0.12612	12.901	0.0204	70.735
0.12134	12.8	0.032057	70.602
0.1294	12.752	0.015874	70.596
0.079521	10.087	0.048427	70.654
0.057824	6.969	0.009239	70.79
