Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
-0.018967	-3.5108	-0.0083613	76.031
-0.014698	-3.0605	0.0038733	75.743
-0.011906	-2.6352	-0.00024592	75.491
-0.013569	-2.3124	-0.00055332	75.28
-0.010366	-2.2834	0.0078695	75.279
-0.00092374	-1.3911	0.019858	75.042
0.013528	1.2946	0.0076236	74.495
0.028472	4.2825	-0.00166	74.041
0.053926	6.7748	-0.0022748	73.707
0.078908	8.7602	0.0058406	73.264
0.085148	8.6583	-0.019182	73.094
0.081269	8.4491	-0.0054718	72.937
0.076506	8.3744	0.0081154	72.897
0.082829	8.3394	-0.0039347	72.809
0.02141	6.0707	0.0046725	72.96
0.0049471	3.5091	-0.0059636	73.136
0.00084163	1.5117	-0.00049184	73.485
0.0012317	1.354	-0.0057177	73.488
-0.0028123	1.3171	0	73.487
-0.006343	1.0368	-0.0073776	73.588
-0.0089705	0.81354	-0.007685	73.854
-0.013322	0.59901	0.009345	74.028
-0.010859	0.26658	0.011312	74.217
-0.014718	-0.088932	0.0038733	74.341
-0.02102	-0.43041	-0.020227	74.54
-0.022006	-1.2035	0.0058406	74.822
-0.034835	-3.4147	-0.0010452	75.371
-0.055096	-5.6855	0.0024592	75.757
-0.071456	-8.1812	0.0041192	75.917
-0.069383	-8.5812	0.0043651	75.892
-0.067269	-8.2717	0.0022133	75.607
-0.060207	-7.7451	0.0011681	75.143
-0.05797	-7.6306	0.010329	75.028
-0.056656	-7.582	-0.0068858	74.98
-0.038838	-6.2411	0.0033814	74.584
-0.030217	-5.4456	0.0087917	74.232
-0.02531	-4.815	-0.010636	73.949
-0.021677	-4.245	-0.0073776	73.68
-0.02022	-3.6578	0.0075621	73.402
-0.020692	-3.1255	0.0081154	73.15
-0.013897	-2.7542	-0.0069473	72.854
-0.011578	-2.4258	-6.15E-05	72.707
-0.010531	-2.2443	0.0028896	72.526
-0.0074105	-2.1173	0.0031355	72.548
-0.0083958	-0.41992	-0.011312	72.088
0.011824	2.1626	0.00092221	71.565
0.037278	4.8141	0.0019059	71.192
0.053228	7.3515	-0.020903	70.833
0.074741	8.7369	0.0011681	70.584
0.078826	8.5473	0.0085458	70.37
0.079626	8.3919	-0.00073776	70.275
0.080283	8.3397	-0.0027666	70.257
0.073714	8.0871	-0.0022748	70.173
0.013199	4.8604	0.0041192	70.399
-0.0013959	2.0943	0.01205	70.792
-0.0068152	1.3724	-0.0096524	70.908
-0.0051524	1.3598	0.0086687	70.898
-0.0051729	1.233	-0.0031355	70.98
-0.0050293	0.91061	-0.0084228	71.137
-0.0075541	0.6709	-0.0086687	71.293
-0.0069794	0.34695	0.0048569	71.526
-0.0095453	0.0027507	0.0011681	71.685
-0.016258	-0.32286	-0.00098369	71.862
-0.023504	-0.90772	-0.012112	72.04
-0.03309	-2.7141	-0.0076236	72.47
-0.050108	-5.1427	0.0085458	72.899
-0.062814	-7.2595	-0.0081769	73.284
-0.068254	-8.6164	0.0046725	73.356
-0.076855	-8.4341	-0.0086687	73.296
-0.0607	-7.7549	0.0003074	72.627
-0.057662	-7.243	0.0059021	72.457
-0.052735	-7.1776	-0.0052258	72.389
-0.046905	-6.7182	-0.0032585	72.177
-0.032865	-5.692	0.0087917	71.84
-0.025146	-4.9361	-0.004734	71.558
-0.026275	-4.3072	0.0019059	71.276
-0.022088	-3.6855	0.0053488	71.047
-0.016607	-3.0977	-0.020166	70.724
-0.013979	-2.6804	0.0078695	70.513
-0.014123	-2.3136	0.006394	70.247
-0.012563	-2.1836	-0.0017215	70.14
-0.01051	-2.0609	0.0048569	70.116
-0.0037976	-0.44578	0.00018444	69.752
0.019357	2.226	0.015001	69.203
0.03697	4.7275	-0.010144	68.827
0.055568	7.2407	-0.016538	68.533
0.077923	8.9647	-0.0086073	68.299
0.088166	8.8114	-0.013095	68.018
0.078005	8.5886	-0.0014755	68.003
0.077779	8.5144	-0.0067014	67.937
0.081351	8.4832	0.0017829	67.911
0.018475	5.878	-0.0012296	67.993
0.00080058	3.2627	-0.0027051	68.274
-0.003387	1.4399	0.0003074	68.584
-0.0074926	1.3169	-0.021211	68.503
-0.004434	1.2972	-0.00024592	68.59
-0.01363	1.0272	-0.0054718	68.748
-0.0061788	0.80313	-0.00024592	68.914
-0.011495	0.50531	-0.016231	69.062
-0.014041	0.15488	0.027543	69.222
-0.016771	-0.1958	-0.00049184	69.381
-0.023668	-0.57148	-0.0037503	69.636
-0.034507	-2.1771	-0.0012296	70.082
-0.050026	-4.5152	-0.0051644	70.637
-0.064128	-6.7619	-0.0086687	71.058
-0.073756	-8.4139	-0.0036888	71.207
-0.070882	-8.3331	0.0033814	71.205
-0.063492	-7.6895	-0.022379	70.559
-0.047296	-6.7137	-0.0081154	70.183
-0.046249	-6.633	0.0014755	70.124
-0.04748	-6.5962	-0.0044881	70.068
-0.033829	-5.7861	-0.0042421	69.747
-0.030873	-5.0561	-0.004734	69.447
-0.027445	-4.4896	-0.0054718	69.181
-0.026624	-3.8807	-0.0052258	68.9
-0.019399	-3.28	-0.0086687	68.588
-0.016237	-2.7302	-0.020166	68.366
-0.011824	-2.3638	-0.0019674	68.167
-0.015293	-2.1793	0.0031355	68
-0.013815	-2.1549	0.012235	67.954
-0.0053577	-1.014	0.006394	67.701
0.010182	1.219	-0.014325	67.176
0.030545	3.9323	0.00055332	66.783
0.049574	6.6487	-0.0042421	66.509
0.080612	8.912	0.00049184	66.225
0.081515	8.8315	0.021149	66.034
0.084409	8.5017	-0.0054718	65.932
0.082747	8.4225	-0.009345	65.961
0.082582	8.3694	0.0059021	65.917
0.021349	6.1384	0.0031355	65.979
0.0059735	3.7136	0.0022133	66.195
-0.0033665	1.5404	-0.0030125	66.484
-0.0062404	1.2504	0.0021518	66.591
-0.00895	1.2381	-0.0054718	66.529
-0.007472	1.058	-0.010636	66.713
-0.0074926	0.79425	-0.0078695	66.905
-0.013076	0.46366	0.014018	67.113
-0.015539	0.061162	-0.011374	67.244
-0.020528	-0.40001	0.00043036	67.501
-0.025865	-0.82485	-0.014263	67.7
-0.031797	-1.7692	0.009345	68.082
-0.04165	-3.5713	-0.0039962	68.519
-0.0529	-6.029	0.00049184	69.016
-0.075316	-8.3899	0.0059021	69.406
-0.076445	-8.7615	-0.00098369	69.333
-0.074084	-8.4083	-0.00098369	69.082
-0.05797	-7.3742	-0.029572	68.42
-0.054213	-6.9045	0.00018444	68.194
-0.054706	-6.8588	0.00049184	68.204
-0.042944	-6.6018	-0.0052258	68.055
-0.032865	-5.6153	-0.007685	67.687
-0.029231	-4.8617	0.026129	67.334
-0.022498	-4.1101	-0.0070702	67.006
-0.02373	-3.4052	-0.0044266	66.743
-0.016935	-2.8393	-0.011005	66.498
-0.015929	-2.4165	-0.022932	66.261
-0.016237	-2.1229	-0.018997	65.925
-0.011085	-2.0792	0.016969	65.938
-0.0084574	-1.5167	-0.001537	65.78
0.0022375	0.33371	-0.0071932	65.35
0.019768	2.9398	0.018383	64.821
0.043169	5.423	0.0019059	64.478
0.065031	7.8274	0.0019059	64.313
0.078641	8.4642	-0.0044881	64.243
