eval_id	interface	Dr	G0	hpo	nCycles.CovMultiplier	nCycles_1	nCycles_2	nCycles_3	nCycles_4	nCycles_5	nCycles_6	
1	1	0.5834044009405148	130.70032864834775	0.017753252197520282	0.9200011570473502	3.5	3.5	1.5	1.25	0.5	0.5	
2	1	0.6440648986884316	224.21679634587048	0.020222284882310516	0.47613563217230515	8.5	8.5	4.25	2.5	1.5	1.25	
3	1	0.500022874963469	308.32004731832353	0.021039530328109898	1.164890419425437	2.25	2.25	1.25	1.25	0.5	0.5	
4	1	0.560466514526368	224.2537808580708	0.1060223163651879	0.33892794345463734	14.25	14.25	6.25	3.5	2.25	1.25	
5	1	0.5293511781634226	114.98603768382614	0.34541089998632635	0.5189663056231212	31.25	31.25	12.25	6.25	3.5	1.5	
6	1	0.5184677189537595	260.76892177465345	0.22014411509324464	1.3190359012308017	17.25	17.25	7.25	4.25	2.5	1.5	
7	1	0.5372520422755341	299.13839356593667	0.2256005716874487	0.46173192805427166	21.5	21.5	9.25	5.25	3.25	2.25	
8	1	0.5691121454086095	254.46673361749257	0.33839204802024625	0.9355832428862904	47.25	47.25	19.25	10.25	6.25	3.5	
9	1	0.579353494846134	383.378426797244	0.05842759289676535	0.7766353217828489	11.25	11.25	5.5	3.25	2.5	1.5	
10	1	0.6077633468006713	275.96651215059785	0.1188816348143444	2.057990268446019	28.5	28.5	11.5	6.5	4.25	2.5	
11	1	0.583838902880659	371.02057458636506	0.2384461158687323	0.5215178874747012	40.25	40.25	17.25	9.5	5.5	3.5	
12	1	0.6370439000793519	141.24241124387126	0.3881423418446731	0.33823302338905487	138.5	138.5	54.5	28.25	16.25	8.5	
13	1	0.5408904499463034	141.78290417522757	0.2288017855097269	1.1214625397097737	23.5	23.5	9.5	5.25	3.25	1.5	
14	1	0.675623487278189	342.2173866128571	0.017272442855447778	1.217254820688896	12.25	12.25	6.25	4.25	3.25	2.25	
15	1	0.5054775186395852	219.30305109566007	0.3222467423454404	1.8820364662324753	20.5	20.5	8.5	4.5	2.5	1.5	
16	1	0.6340935020356804	149.60625913507982	0.10085996679799797	2.14862467483624	35.25	35.25	14.25	7.5	4.5	2.5	
17	1	0.5834609604734253	378.2525741188102	0.32477102629132387	0.25057262180901435	53.5	53.5	22.25	12.25	7.25	4.25	
18	1	0.6117379656891503	204.32975792365198	0.161265651185027	0.4968082930564172	40.25	40.25	16.25	8.5	5.25	3.25	
19	1	0.5280773877190468	325.24363094084663	0.3467813232781772	0.9000259412409458	28.5	28.5	12.25	6.5	4.25	2.5	
20	1	0.5396202978169757	317.79939560513543	0.301377440667502	2.4262274126300296	29.5	29.5	12.25	6.5	4.25	2.5	
21	1	0.6601489137351073	364.99182736174293	0.2269336912562634	2.449488362749762	104.5	104.5	41.5	22.5	13.5	7.5	
22	1	0.6936523151438795	287.10166211668263	0.06321753800766716	0.816264380214924	48.5	48.5	20.25	10.5	6.5	4.25	
23	1	0.5626848356318486	325.28273020820114	0.03336789890976255	1.9569329591052613	5.5	5.5	2.5	2.25	1.5	1.25	
24	1	0.6384645231338628	204.66950259335277	0.05732394773888757	0.9390145937740253	21.25	21.25	9.25	5.25	3.25	2.25	
25	1	0.6752778304592076	180.9783675295078	0.027375232632457072	0.6345142777434206	17.5	17.5	7.5	4.25	2.5	1.5	
26	1	0.6789213327007695	368.76586545882003	0.05192271035137624	0.7322544545784637	33.5	33.5	14.25	8.5	5.5	3.5	
27	1	0.5170088422739556	228.42735696138848	0.09802664205706332	0.8814963459929888	7.5	7.5	3.25	2.25	1.5	1.25	
28	1	0.5078109566465765	389.45201414451566	0.2880657023492439	0.8072026095089282	19.5	19.5	8.25	4.5	3.25	2.25	
29	1	0.5339660839129138	299.0324493455344	0.22828962300111558	2.074465403411208	20.5	20.5	8.5	5.25	3.25	2.25	
30	1	0.6756285006858826	286.50871606273654	0.014896832262055184	1.9895874493539603	10.5	10.5	5.5	3.25	2.25	1.5	
31	1	0.51966936676661	134.42379188601257	0.03806996907889984	0.6391413015526585	3.25	3.25	1.25	0.5	0.5	0.5	
32	1	0.5842215250010104	384.84677761212134	0.3872377687001061	2.774191245502878	64.25	64.25	26.25	14.5	8.25	4.5	
33	1	0.6915779060301004	234.97364004398216	0.23155918014877744	0.44477594284896266	168.5	168.5	67.25	34.5	19.5	10.25	
34	1	0.6066330569946033	273.51688431613957	0.08928436151778628	0.4015902235448364	21.25	21.25	9.25	5.25	3.5	2.25	
35	1	0.6383754227900946	222.44104082838436	0.10840704038242613	0.40978922527841194	38.5	38.5	15.5	8.5	5.25	3.25	
36	1	0.5631031262012126	171.10809407290833	0.30009208308928625	0.7543854867161642	39.5	39.5	16.25	8.5	5.25	2.5	
37	1	0.6373001855363167	371.0138561686761	0.08621749763263432	0.26951197828207896	31.25	31.25	13.25	8.25	5.25	3.5	
38	1	0.6669251343794745	272.1038460016857	0.23672998163657055	2.405837161209227	120.5	120.5	48.5	25.25	14.5	7.5	
39	1	0.5036576554688383	100.8610981093477	0.38830779574444185	1.4022646776559018	26.25	26.25	10.25	5.25	3.25	1.5	
40	1	0.6500288629889934	285.14347408621717	0.3402632325811138	0.2535795895098248	136.25	136.25	54.5	28.25	16.25	8.5	
41	1	0.6977722177812988	197.99347053162884	0.1035406260675586	0.4467405083420368	84.25	84.25	33.5	17.5	10.5	5.5	
42	1	0.6496331308759679	258.11743067728275	0.2025701885648047	0.5813740057677356	82.25	82.25	32.5	17.25	10.25	5.5	
