eval_id	interface	Dr	G0	hpo	nCycles.CovMultiplier	nCycles_1	nCycles_2	nCycles_3	nCycles_4	nCycles_5	nCycles_6	
1	1	0.6553436103744548	367.10616853376183	0.04841483657105384	0.7242293847737528	21.5	21.5	9.5	6.25	4.25	3.25	
2	1	0.5489149175481027	223.33493197701017	0.2546716129783516	2.1056169312385857	28.25	28.25	11.5	6.25	3.5	2.25	
3	1	0.6776014775590857	316.4174976291316	0.03037743193228855	1.0072486942012648	20.25	20.25	9.25	5.5	4.25	2.5	
4	1	0.6812206850232929	247.96003094419268	0.04194250901085657	1.4876335229654465	28.25	28.25	11.5	6.5	4.25	2.5	
5	1	0.6949033558693862	210.25083188303657	0.031170246169088724	1.3958614682220891	39.25	39.25	16.25	8.5	5.5	3.25	
6	1	0.5477553027489982	213.96434793593457	0.22649692661920104	1.0536999325241398	24.5	24.5	10.25	5.5	3.5	2.25	
7	1	0.6395004816726432	356.54861450885403	0.06894924858666517	1.0190323273623825	29.25	29.25	12.5	6.5	4.25	2.5	
8	1	0.598649862250654	222.81547376841976	0.11255116422053242	0.9424874001016436	24.25	24.25	10.25	5.5	3.5	2.25	
9	1	0.5127507462897422	143.04905522755317	0.3483030171479723	1.2072724705325961	32.5	32.5	12.5	6.5	3.5	2.25	
10	1	0.5349641067355166	285.77819788644075	0.28899235825631076	1.637700984137816	31.25	31.25	13.25	7.25	4.5	2.5	
11	1	0.6782360203342522	291.8767288203582	0.03725030794785159	1.1562703399157355	24.25	24.25	10.5	6.5	3.5	2.5	
12	1	0.584621618877672	387.4684830912855	0.14630130318980097	0.24220270636089286	24.5	24.5	11.25	6.5	4.25	2.5	
13	1	0.5173921341652831	185.05199504044944	0.29329015001339287	0.6364404689627383	28.25	28.25	11.5	6.25	3.5	2.25	
14	1	0.5413371074251139	385.32433325321347	0.2529429294346588	0.5221296441901271	27.5	27.5	11.5	6.5	4.25	2.5	
15	1	0.6883981583387622	246.7430745177662	0.03567828347585276	1.351809351256253	31.5	31.5	13.25	7.5	4.5	2.5	
16	1	0.5426855577514859	214.5165242618655	0.2364273326127672	0.8352278083536545	22.25	22.25	9.25	5.25	3.25	1.5	
17	1	0.6877000477964291	337.5843480283783	0.029511842993836756	0.9630740172138356	22.25	22.25	10.25	6.25	4.5	2.5	
18	1	0.546816901365978	141.17468879938477	0.19118172408706416	1.5040080078311864	17.5	17.5	7.25	3.5	2.25	1.25	
19	1	0.5203359686294196	130.22034182532536	0.3452584954853075	1.2563364042441	27.5	27.5	11.25	5.5	3.25	1.5	
20	1	0.5194573356698698	162.1167474070158	0.3328599901212703	1.1176606478214928	26.5	26.5	10.5	5.5	3.25	1.5	
21	1	0.6089075901591732	386.6703168848275	0.08379600303728042	0.8568265553248291	21.25	21.25	9.5	6.25	4.25	2.5	
22	1	0.6007631647479523	374.2891303814439	0.11625818596089446	0.40810998301511525	21.5	21.5	9.25	5.25	3.25	2.25	
23	1	0.681090787583247	236.67038450902854	0.03643837885655181	1.3217318871112362	23.5	23.5	10.25	5.5	3.5	2.25	
24	1	0.6949033558693862	210.25083188303657	0.031170246169088724	1.3958614682220891	32.25	32.25	13.25	7.5	4.5	2.5	
25	1	0.6896051111085819	209.66363650875292	0.03505892578747851	1.4834776220559585	19.5	19.5	8.5	5.25	3.25	2.25	
26	1	0.6577462561067299	393.89419385388373	0.04044903448259308	0.6683789634663019	34.5	34.5	14.5	8.5	5.5	3.5	
27	1	0.6077874047202675	111.5893336302204	0.10173320980749875	1.7617214822904086	25.5	25.5	10.25	5.5	3.25	1.5	
28	1	0.680197971038516	301.78174504221175	0.042116456680087025	1.1763362438003306	27.5	27.5	12.25	6.5	4.25	2.5	
29	1	0.5173921341652831	185.05199504044944	0.29329015001339287	0.6364404689627383	20.25	20.25	8.25	4.5	2.5	1.5	
30	1	0.6526498437287703	368.19058810945353	0.050411626268255336	1.1805747527491293	32.25	32.25	13.5	8.25	5.5	3.5	
31	1	0.6764868079443938	296.08316690122075	0.044128264602484604	1.1507190658544653	27.5	27.5	12.25	7.25	4.25	2.5	
32	1	0.5956064908165942	359.61570603198385	0.12281634525342214	0.4546487236937867	24.5	24.5	11.25	6.5	4.5	2.5	
33	1	0.6746280377842075	286.0304801546058	0.041615225234939074	1.3463797829946655	21.25	21.25	9.5	6.25	3.5	2.5	
34	1	0.6962021628357873	306.0304556652635	0.023234311971936383	1.0966323932648094	28.25	28.25	11.5	6.5	4.25	2.5	
35	1	0.5430847676191914	165.67508122373	0.23043161645997481	1.5030949833295753	24.5	24.5	10.25	5.25	3.25	1.5	
36	1	0.6618196735458277	282.62479984825995	0.053412512607708205	1.2290708669919126	27.25	27.25	11.25	6.5	4.25	2.5	
37	1	0.6116293886503759	365.44537092818564	0.09609389979720759	0.5993379492871993	25.5	25.5	11.25	6.5	4.5	2.5	
38	1	0.5081953782281385	131.62863475005284	0.3637481338476448	1.1618005340194266	23.5	23.5	9.25	4.5	2.5	1.5	
39	1	0.6813921540843536	310.6039278048292	0.035387970659097184	1.0578546723210294	25.5	25.5	11.5	7.25	4.5	2.5	
40	1	0.6742887256744972	294.53707852029135	0.03861073487872487	1.1653571010457477	21.5	21.5	10.25	6.25	3.5	2.5	
41	1	0.5525691227829618	152.49345763318985	0.22482195386804665	1.410866456614005	26.5	26.5	10.5	5.5	3.25	1.5	
42	1	0.5926701736672156	202.66322344055487	0.11178677289501973	1.4944604627892366	23.25	23.25	9.5	5.25	3.25	2.25	
43	1	0.5134940537330099	191.16408666270866	0.3133606687825616	1.4050158728040523	22.5	22.5	9.25	5.25	3.25	1.5	
44	1	0.6703291701180224	318.22134558276593	0.041784880486541616	0.8396052769994184	24.25	24.25	10.5	6.5	4.5	2.5	
45	1	0.6007631647479523	374.2891303814439	0.11625818596089446	0.40810998301511525	27.25	27.25	11.5	7.25	4.25	2.5	
46	1	0.6007631647479523	374.2891303814439	0.11625818596089446	0.40810998301511525	24.5	24.5	11.25	6.5	4.25	2.5	
47	1	0.5671370237153026	217.61475803826818	0.1873620799233314	1.2674423221899709	30.5	30.5	12.5	6.5	4.25	2.5	
48	1	0.567024863385045	126.34705128775607	0.17031436299673855	1.4945311755015565	25.5	25.5	10.25	5.25	3.25	1.5	
49	1	0.6412829497984198	318.7218370475056	0.06696826212624235	1.1136928767159	32.25	32.25	13.5	8.25	5.25	3.25	
50	1	0.6704031637783727	333.09303054316825	0.03405217499803109	0.7799368022755528	17.5	17.5	8.25	5.25	3.25	2.25	
51	1	0.5407987091040783	173.29038985208769	0.2209242664117521	1.390977934100308	22.5	22.5	9.25	5.25	3.25	1.5	
52	1	0.5208749637861703	141.01442787142443	0.29580355706478206	0.8223662884290386	23.5	23.5	9.5	5.25	2.5	1.5	
53	1	0.6096501457510181	377.3687301854999	0.10413857797750954	0.6630130155148999	24.25	24.25	10.5	6.5	4.5	2.5	
54	1	0.5785613606546025	171.24485324354583	0.15292563509020982	1.4980418295714086	27.25	27.25	10.5	5.5	3.25	1.5	
55	1	0.5083867557195781	109.30153697703653	0.36008918243837507	1.409157425181893	25.25	25.25	10.25	5.25	3.25	1.5	
56	1	0.6116293886503759	365.44537092818564	0.09609389979720759	0.5993379492871993	19.5	19.5	9.25	5.5	4.25	2.5	
57	1	0.5397916939011804	104.86902939129914	0.2250414953624165	1.6388493144518121	23.5	23.5	9.25	4.5	2.5	1.5	
58	1	0.5278086563269215	196.51399131050806	0.2570629001831307	0.9737803321295128	22.25	22.25	9.25	5.25	3.25	1.5	
59	1	0.6945377059593232	201.49150019092417	0.030364736809302073	1.4121606864797303	46.5	46.5	18.5	10.25	6.25	3.5	
60	1	0.6845365372339867	214.07909680159185	0.03957670405670335	1.5026490572229256	27.5	27.5	11.5	6.5	4.25	2.5	
