 max1, max3, max5, max7, max9, max11, max13, max15, max17, max19, max21, max23, max25, max27, max29, max31, max33, max35, max37, max39, max41, max43, max45, max47,max49
0.346987,0.346987,0.346987,0.346987,0.346986,0.345966,0.405023,0.475068,0.542241,0.613051,0.677747,0.731687,0.743133,0.743162,0.742445,0.741962,0.74155,0.741304,0.741146,0.74096,0.74077,0.74061,0.740634,0.740571,0.740532
0.348747,0.348747,0.348747,0.348747,0.348747,0.348072,0.348595,0.348339,0.349503,0.419484,0.488713,0.565493,0.646583,0.723829,0.727843,0.729248,0.729319,0.729319,0.729364,0.729252,0.729131,0.728965,0.728626,0.728566,0.728485
0.346875,0.346875,0.346874,0.346874,0.346874,0.346882,0.40957,0.469042,0.532081,0.594338,0.662085,0.717972,0.757057,0.757144,0.756647,0.756362,0.756121,0.756015,0.75585,0.7557,0.755575,0.755443,0.755369,0.755345,0.755317
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.347073,0.347073,0.347072,0.347072,0.347071,0.346858,0.405442,0.464098,0.526894,0.593369,0.660453,0.722986,0.771668,0.780654,0.780928,0.780657,0.780537,0.780384,0.780206,0.780131,0.780104,0.780083,0.779997,0.780004,0.779962
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.348075,0.348074,0.348075,0.348074,0.348074,0.346514,0.346868,0.352215,0.407252,0.479395,0.545492,0.617785,0.690827,0.744999,0.747735,0.74865,0.74858,0.748616,0.748563,0.748674,0.748618,0.748615,0.748436,0.748344,0.748255
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.350478,0.350478,0.350478,0.350478,0.350477,0.351076,0.351471,0.353315,0.351535,0.350453,0.349344,0.352239,0.437264,0.507781,0.593862,0.671796,0.671762,0.671834,0.6718,0.6723,0.672111,0.672236,0.672389,0.672516,0.672698
0.351978,0.351978,0.351977,0.351977,0.351978,0.351099,0.383697,0.409335,0.440217,0.470227,0.50243,0.533062,0.561486,0.583897,0.597832,0.603815,0.603625,0.60334,0.603076,0.603017,0.602925,0.602925,0.602931,0.602954,0.602967
