1 1 2 4 3 1
2 3 4 6 5 1
3 5 6 8 7 1
4 7 8 10 9 1
5 9 10 12 11 2
6 11 12 14 13 2
7 13 14 16 15 2
8 15 16 18 17 2
9 17 18 20 19 2
10 19 20 22 21 2
11 21 22 24 23 2
12 23 24 26 25 2
13 25 26 28 27 2
14 27 28 30 29 2
15 29 30 32 31 2
16 31 32 34 33 2
17 33 34 36 35 3
18 35 36 38 37 3
19 37 38 40 39 3
20 39 40 42 41 3
21 41 42 44 43 3
22 43 44 46 45 3
23 45 46 48 47 3
24 47 48 50 49 3
