Run #, Dr, G0, hpo, nCycles.CovMultiplier, nCycles_1, nCycles_2, nCycles_3, nCycles_4, nCycles_5, nCycles_6
22, 0.607067, 153.59, 0.0662196, 0.406512, 22.25, 22.25, 9.25, 5.25, 3.25, 1.5
23, 0.494808, 340.641, 0.596145, 0.752719, 35.5, 35.5, 14.5, 8.25, 4.5, 2.5
24, 0.460228, 364.05, 0.684362, 0.635112, 33.25, 33.25, 13.5, 7.5, 4.5, 2.5
25, 0.460787, 354.603, 0.675008, 0.7319, 27.5, 27.5, 11.25, 6.25, 3.5, 2.25
26, 0.519793, 176.978, 0.281507, 1.19492, 22.25, 22.25, 8.5, 4.5, 2.5, 1.5
27, 0.460228, 364.05, 0.684362, 0.635112, 22.5, 22.5, 9.5, 5.25, 3.25, 2.25
28, 0.625588, 141.454, 0.0763201, 0.443266, 21.25, 21.25, 8.5, 4.5, 2.5, 1.5
29, 0.51231, 284.208, 0.319786, 1.33131, 23.25, 23.25, 9.5, 5.25, 3.25, 2.25
30, 0.625588, 141.454, 0.0763201, 0.443266, 7.25, 7.25, 3.25, 1.5, 1.25, 0.5
31, 0.500742, 232.515, 0.421093, 1.01987, 20.5, 20.5, 8.25, 4.5, 2.5, 1.5
32, 0.625588, 141.454, 0.0763201, 0.443266, 25.25, 25.25, 10.25, 5.5, 3.5, 2.25
33, 0.542589, 104.376, 0.228651, 0.578744, 28.25, 28.25, 11.25, 5.5, 3.25, 1.5
34, 0.739041, 317.089, 0.0185791, 1.49264, 88.25, 88.25, 36.25, 19.25, 11.5, 7.25
35, 0.480326, 371.61, 0.483965, 0.552552, 23.25, 23.25, 9.5, 5.25, 3.25, 2.25
36, 0.739041, 317.089, 0.0185791, 1.49264, 90.5, 90.5, 37.25, 19.5, 12.25, 7.25
37, 0.500742, 232.515, 0.421093, 1.01987, 22.25, 22.25, 9.25, 5.25, 3.25, 1.5
38, 0.625588, 141.454, 0.0763201, 0.443266, 19.25, 19.25, 7.5, 4.25, 2.5, 1.5
39, 0.460228, 364.05, 0.684362, 0.635112, 26.25, 26.25, 10.5, 6.25, 3.5, 2.25
40, 0.463514, 249.626, 0.500219, 1.08423, 18.5, 18.5, 7.5, 4.25, 2.5, 1.5
41, 0.48625, 179.26, 0.499037, 1.04805, 25.5, 25.5, 10.25, 5.5, 3.25, 1.5
42, 0.480326, 371.61, 0.483965, 0.552552, 23.5, 23.5, 10.25, 5.5, 3.5, 2.25
43, 0.625588, 141.454, 0.0763201, 0.443266, 31.25, 31.25, 12.5, 6.5, 4.25, 2.25
44, 0.487413, 273.612, 0.463286, 1.04871, 24.25, 24.25, 9.5, 5.5, 3.25, 2.25
45, 0.500742, 232.515, 0.421093, 1.01987, 25.25, 25.25, 10.25, 5.5, 3.5, 2.25
46, 0.519025, 198.423, 0.313008, 1.1525, 24.25, 24.25, 10.25, 5.25, 3.25, 1.5
47, 0.495328, 193.758, 0.39828, 1.01738, 21.5, 21.5, 8.5, 4.5, 2.5, 1.5
48, 0.460228, 364.05, 0.684362, 0.635112, 31.25, 31.25, 12.5, 7.25, 4.25, 2.5
49, 0.5773, 319.199, 0.142126, 1.35923, 26.25, 26.25, 10.5, 6.25, 4.25, 2.5
50, 0.46532, 388.253, 0.660224, 0.785978, 30.25, 30.25, 12.5, 7.25, 4.25, 2.5
51, 0.494808, 340.641, 0.596145, 0.752719, 31.5, 31.5, 13.25, 7.25, 4.25, 2.5
52, 0.484416, 277.248, 0.484, 1.0825, 18.5, 18.5, 7.5, 4.25, 2.5, 1.5
53, 0.525727, 184.149, 0.298042, 1.05592, 27.5, 27.5, 11.25, 6.25, 3.5, 2.25
54, 0.480326, 371.61, 0.483965, 0.552552, 20.25, 20.25, 8.5, 4.5, 3.25, 1.5
55, 0.547441, 108.604, 0.227427, 0.610389, 27.5, 27.5, 11.25, 5.5, 3.25, 1.5
56, 0.51231, 284.208, 0.319786, 1.33131, 23.5, 23.5, 9.5, 5.25, 3.25, 2.25
57, 0.460366, 337.168, 0.668903, 0.582831, 25.5, 25.5, 10.5, 5.5, 3.5, 2.25
58, 0.739041, 317.089, 0.0185791, 1.49264, 85.5, 85.5, 34.5, 18.5, 11.5, 6.5
59, 0.542589, 104.376, 0.228651, 0.578744, 25.25, 25.25, 10.25, 5.25, 3.25, 1.5
60, 0.625588, 141.454, 0.0763201, 0.443266, 25.25, 25.25, 10.25, 5.5, 3.5, 2.25
61, 0.500742, 232.515, 0.421093, 1.01987, 26.5, 26.5, 11.25, 6.25, 3.5, 2.25
62, 0.460228, 364.05, 0.684362, 0.635112, 27.5, 27.5, 11.25, 6.25, 3.5, 2.25
63, 0.488413, 354.551, 0.455621, 0.46725, 24.5, 24.5, 10.25, 6.25, 3.5, 2.25
64, 0.622649, 134.543, 0.0787663, 0.33674, 16.25, 16.25, 6.5, 3.5, 2.25, 1.25
65, 0.498489, 234.606, 0.391918, 0.803042, 23.25, 23.25, 9.5, 5.25, 3.25, 2.25
66, 0.625588, 141.454, 0.0763201, 0.443266, 9.25, 9.25, 4.25, 2.25, 1.5, 1.25
67, 0.741267, 313.891, 0.0174915, 1.48944, 93.25, 93.25, 37.5, 20.25, 12.25, 7.25
68, 0.680494, 307.35, 0.0390016, 1.10962, 32.5, 32.5, 14.25, 7.5, 4.5, 3.25
69, 0.625588, 141.454, 0.0763201, 0.443266, 6.5, 6.5, 3.25, 1.5, 1.25, 0.5
70, 0.7311, 291.426, 0.01952, 1.35092, 41.25, 41.25, 17.25, 10.25, 6.5, 3.5
71, 0.506676, 173.374, 0.355441, 0.568786, 23.25, 23.25, 9.5, 5.25, 3.25, 1.5
72, 0.622649, 134.543, 0.0787663, 0.33674, 20.5, 20.5, 8.25, 4.25, 2.5, 1.25
73, 0.608749, 317.246, 0.0970192, 1.02765, 27.25, 27.25, 11.25, 6.25, 4.25, 2.5
74, 0.455706, 352.238, 0.694191, 0.502298, 25.5, 25.5, 10.5, 5.5, 3.5, 2.25
75, 0.469542, 307.717, 0.573021, 1.10271, 24.25, 24.25, 9.5, 5.5, 3.25, 2.25
76, 0.619356, 285.991, 0.0889, 0.991804, 32.25, 32.25, 13.25, 7.25, 4.5, 2.5
77, 0.547441, 108.604, 0.227427, 0.610389, 26.5, 26.5, 10.5, 5.5, 3.25, 1.5
78, 0.460228, 364.05, 0.684362, 0.635112, 26.5, 26.5, 11.25, 6.25, 3.5, 2.25
79, 0.572932, 334.503, 0.18036, 0.762107, 24.5, 24.5, 10.25, 5.5, 3.5, 2.5
80, 0.480326, 371.61, 0.483965, 0.552552, 19.5, 19.5, 8.25, 4.5, 2.5, 1.5
81, 0.635646, 142.107, 0.0629476, 0.587825, 30.25, 30.25, 12.25, 6.5, 4.25, 2.25
82, 0.49924, 238.067, 0.416864, 0.934858, 24.25, 24.25, 9.5, 5.25, 3.25, 1.5
83, 0.500286, 233.94, 0.420609, 1.07399, 24.25, 24.25, 9.5, 5.5, 3.25, 1.5
84, 0.523898, 291.957, 0.264455, 1.51554, 22.5, 22.5, 9.5, 5.25, 3.25, 2.25
85, 0.547441, 108.604, 0.227427, 0.610389, 25.5, 25.5, 10.25, 5.25, 3.25, 1.5
86, 0.48457, 238.578, 0.461012, 1.00944, 21.25, 21.25, 8.5, 4.5, 2.5, 1.5
87, 0.460228, 364.05, 0.684362, 0.635112, 27.25, 27.25, 11.25, 6.25, 3.5, 2.25
88, 0.625588, 141.454, 0.0763201, 0.443266, 23.5, 23.5, 9.5, 5.25, 3.25, 1.5
89, 0.748022, 326.412, 0.011007, 1.40169, 85.25, 85.25, 35.25, 18.5, 11.5, 6.5
90, 0.739438, 309.042, 0.0182693, 1.53384, 42.25, 42.25, 17.5, 10.25, 6.5, 3.5
91, 0.499773, 186.918, 0.465216, 1.35301, 23.25, 23.25, 9.25, 5.25, 3.25, 1.5
92, 0.525727, 184.149, 0.298042, 1.05592, 20.25, 20.25, 8.25, 4.5, 2.5, 1.5
93, 0.506807, 225.274, 0.365316, 0.689141, 23.5, 23.5, 9.5, 5.25, 3.25, 1.5
94, 0.525072, 239.349, 0.358085, 1.24081, 29.25, 29.25, 11.5, 6.5, 4.25, 2.25
95, 0.739041, 317.089, 0.0185791, 1.49264, 61.25, 61.25, 25.25, 14.25, 8.5, 5.5
96, 0.52392, 167.904, 0.322324, 0.742636, 26.25, 26.25, 10.5, 5.5, 3.25, 1.5
97, 0.733143, 278.441, 0.0156537, 1.02753, 32.5, 32.5, 14.25, 7.5, 4.5, 3.25
98, 0.488413, 354.551, 0.455621, 0.46725, 25.5, 25.5, 10.5, 6.25, 3.5, 2.25
99, 0.572932, 334.503, 0.18036, 0.762107, 29.5, 29.5, 12.5, 6.5, 4.25, 2.5
100, 0.635646, 142.107, 0.0629476, 0.587825, 10.5, 10.5, 4.5, 2.5, 1.5, 1.25
101, 0.574431, 303.839, 0.155394, 1.29282, 20.25, 20.25, 8.5, 5.25, 3.25, 2.25
102, 0.739041, 317.089, 0.0185791, 1.49264, 36.5, 36.5, 15.25, 9.25, 6.25, 4.25
103, 0.625588, 141.454, 0.0763201, 0.443266, 29.5, 29.5, 12.25, 6.5, 3.5, 2.25
104, 0.608314, 134.127, 0.10081, 0.257386, 27.25, 27.25, 10.5, 5.5, 3.25, 1.5
105, 0.625588, 141.454, 0.0763201, 0.443266, 27.25, 27.25, 10.5, 5.5, 3.25, 1.5
106, 0.574431, 303.839, 0.155394, 1.29282, 20.5, 20.5, 8.5, 4.5, 3.25, 2.25
107, 0.485753, 263.636, 0.481718, 0.768329, 25.5, 25.5, 10.5, 5.5, 3.5, 2.25
108, 0.625588, 141.454, 0.0763201, 0.443266, 31.25, 31.25, 12.5, 6.5, 4.25, 2.25
109, 0.574431, 303.839, 0.155394, 1.29282, 21.25, 21.25, 9.25, 5.25, 3.25, 2.25
110, 0.460228, 364.05, 0.684362, 0.635112, 27.25, 27.25, 11.25, 6.25, 3.5, 2.25
111, 0.622649, 134.543, 0.0787663, 0.33674, 31.5, 31.5, 13.25, 7.25, 4.25, 2.25
112, 0.460228, 364.05, 0.684362, 0.635112, 26.25, 26.25, 10.5, 6.25, 3.5, 2.25
113, 0.508556, 220.886, 0.403185, 1.44905, 26.5, 26.5, 10.5, 6.25, 3.5, 2.25
114, 0.631421, 156.465, 0.0649523, 0.564995, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
115, 0.51231, 284.208, 0.319786, 1.33131, 21.25, 21.25, 8.5, 4.5, 3.25, 1.5
116, 0.625588, 141.454, 0.0763201, 0.443266, 6.5, 6.5, 2.5, 1.5, 1.25, 0.5
117, 0.625588, 141.454, 0.0763201, 0.443266, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
118, 0.574431, 303.839, 0.155394, 1.29282, 22.5, 22.5, 10.25, 5.5, 3.5, 2.5
119, 0.500742, 232.515, 0.421093, 1.01987, 23.5, 23.5, 9.5, 5.25, 3.25, 1.5
120, 0.460228, 364.05, 0.684362, 0.635112, 25.5, 25.5, 10.5, 5.5, 3.5, 2.25
121, 0.460228, 364.05, 0.684362, 0.635112, 30.25, 30.25, 12.25, 6.5, 4.25, 2.5
122, 0.601254, 299.556, 0.0976176, 1.40485, 20.25, 20.25, 8.5, 5.25, 3.25, 2.25
123, 0.456812, 363.866, 0.673495, 0.678186, 24.5, 24.5, 10.25, 5.5, 3.5, 2.25
124, 0.488413, 354.551, 0.455621, 0.46725, 31.5, 31.5, 12.5, 7.25, 4.5, 2.5
125, 0.622649, 134.543, 0.0787663, 0.33674, 11.25, 11.25, 4.5, 2.5, 1.5, 1.25
126, 0.495112, 263.936, 0.458245, 0.936204, 32.5, 32.5, 13.25, 7.25, 4.25, 2.5
127, 0.492849, 264.792, 0.46571, 1.39208, 26.25, 26.25, 10.5, 5.5, 3.5, 2.25
128, 0.460789, 356.896, 0.666578, 0.839355, 23.5, 23.5, 9.5, 5.5, 3.25, 2.25
129, 0.488553, 302.78, 0.466199, 1.04666, 23.5, 23.5, 9.5, 5.25, 3.25, 2.25
130, 0.618732, 248.554, 0.0874143, 0.939251, 24.25, 24.25, 10.25, 5.5, 3.5, 2.25
131, 0.547441, 108.604, 0.227427, 0.610389, 27.25, 27.25, 10.5, 5.5, 3.25, 1.5
132, 0.680494, 307.35, 0.0390016, 1.10962, 11.5, 11.5, 6.25, 4.25, 2.5, 1.5
133, 0.499745, 226.936, 0.399794, 1.1419, 23.5, 23.5, 9.5, 5.25, 3.25, 1.5
134, 0.625588, 141.454, 0.0763201, 0.443266, 24.25, 24.25, 9.5, 5.25, 3.25, 1.5
135, 0.625588, 141.454, 0.0763201, 0.443266, 31.5, 31.5, 13.25, 7.25, 4.25, 2.25
136, 0.460915, 373.959, 0.687786, 0.663873, 30.25, 30.25, 12.5, 7.25, 4.25, 2.5
137, 0.625588, 141.454, 0.0763201, 0.443266, 23.5, 23.5, 9.5, 5.25, 3.25, 2.25
138, 0.547441, 108.604, 0.227427, 0.610389, 21.25, 21.25, 8.25, 4.25, 2.5, 1.25
139, 0.574431, 303.839, 0.155394, 1.29282, 25.5, 25.5, 10.5, 6.25, 3.5, 2.25
140, 0.625588, 141.454, 0.0763201, 0.443266, 14.25, 14.25, 6.25, 3.25, 2.25, 1.25
141, 0.460228, 364.05, 0.684362, 0.635112, 28.25, 28.25, 11.5, 6.5, 4.25, 2.25
142, 0.574431, 303.839, 0.155394, 1.29282, 25.25, 25.25, 10.5, 6.25, 3.5, 2.25
143, 0.500742, 232.515, 0.421093, 1.01987, 26.5, 26.5, 10.5, 6.25, 3.5, 2.25
144, 0.495021, 218.036, 0.410482, 0.916076, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
145, 0.51436, 186.936, 0.328802, 0.921742, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
146, 0.547441, 108.604, 0.227427, 0.610389, 25.5, 25.5, 10.25, 5.25, 3.25, 1.5
147, 0.558667, 284.751, 0.179008, 1.46924, 22.25, 22.25, 9.5, 5.25, 3.25, 2.25
148, 0.556194, 108.464, 0.191671, 0.482249, 22.25, 22.25, 8.5, 4.5, 2.5, 1.5
149, 0.547441, 108.604, 0.227427, 0.610389, 26.25, 26.25, 10.25, 5.25, 3.25, 1.5
150, 0.495328, 193.758, 0.39828, 1.01738, 22.5, 22.5, 9.25, 4.5, 2.5, 1.5
151, 0.485753, 263.636, 0.481718, 0.768329, 21.25, 21.25, 8.5, 4.5, 3.25, 1.5
152, 0.547441, 108.604, 0.227427, 0.610389, 23.5, 23.5, 9.25, 4.5, 2.5, 1.5
153, 0.460228, 364.05, 0.684362, 0.635112, 25.5, 25.5, 10.5, 5.5, 3.5, 2.25
154, 0.50634, 221.606, 0.383838, 0.647074, 22.25, 22.25, 9.25, 5.25, 3.25, 1.5
155, 0.504569, 332.029, 0.404155, 0.461552, 27.25, 27.25, 11.25, 6.25, 4.25, 2.25
156, 0.500742, 232.515, 0.421093, 1.01987, 31.5, 31.5, 13.25, 7.25, 4.25, 2.5
157, 0.500286, 233.94, 0.420609, 1.07399, 24.5, 24.5, 10.25, 5.5, 3.25, 1.5
158, 0.500742, 232.515, 0.421093, 1.01987, 25.5, 25.5, 10.5, 5.5, 3.5, 2.25
159, 0.460228, 364.05, 0.684362, 0.635112, 31.25, 31.25, 12.5, 7.25, 4.25, 2.5
160, 0.562217, 337.603, 0.16959, 1.13107, 24.25, 24.25, 10.5, 5.5, 3.5, 2.5
161, 0.625588, 141.454, 0.0763201, 0.443266, 23.25, 23.25, 9.5, 5.25, 3.25, 1.5
162, 0.572932, 334.503, 0.18036, 0.762107, 29.25, 29.25, 12.5, 7.5, 4.5, 2.5
163, 0.460228, 364.05, 0.684362, 0.635112, 28.25, 28.25, 11.5, 6.25, 3.5, 2.25
164, 0.460228, 364.05, 0.684362, 0.635112, 26.5, 26.5, 11.25, 6.25, 3.5, 2.25
165, 0.473399, 192.037, 0.516359, 1.23622, 24.25, 24.25, 9.5, 5.25, 3.25, 1.5
166, 0.519025, 198.423, 0.313008, 1.1525, 25.25, 25.25, 10.25, 5.5, 3.25, 2.25
167, 0.499388, 242.257, 0.398017, 1.25831, 27.5, 27.5, 11.25, 6.25, 3.5, 2.25
168, 0.460228, 364.05, 0.684362, 0.635112, 26.25, 26.25, 10.5, 5.5, 3.5, 2.25
169, 0.50634, 221.606, 0.383838, 0.647074, 18.25, 18.25, 7.5, 4.25, 2.5, 1.5
170, 0.625588, 141.454, 0.0763201, 0.443266, 30.25, 30.25, 12.25, 6.5, 4.25, 2.5
171, 0.625588, 141.454, 0.0763201, 0.443266, 23.25, 23.25, 9.5, 5.25, 3.25, 1.5
172, 0.51231, 284.208, 0.319786, 1.33131, 20.25, 20.25, 8.25, 4.5, 2.5, 1.5
173, 0.460228, 364.05, 0.684362, 0.635112, 22.25, 22.25, 9.25, 5.25, 3.25, 1.5
174, 0.733143, 278.441, 0.0156537, 1.02753, 77.5, 77.5, 32.25, 17.25, 10.5, 6.5
175, 0.460228, 364.05, 0.684362, 0.635112, 24.25, 24.25, 10.25, 5.5, 3.25, 2.25
176, 0.488413, 354.551, 0.455621, 0.46725, 22.5, 22.5, 9.5, 5.25, 3.25, 2.25
177, 0.547441, 108.604, 0.227427, 0.610389, 24.5, 24.5, 9.5, 5.25, 2.5, 1.5
178, 0.488413, 354.551, 0.455621, 0.46725, 24.25, 24.25, 10.25, 5.5, 3.5, 2.25
179, 0.619356, 285.991, 0.0889, 0.991804, 35.5, 35.5, 15.25, 8.25, 5.25, 3.25
180, 0.460228, 364.05, 0.684362, 0.635112, 27.5, 27.5, 11.25, 6.25, 3.5, 2.25
181, 0.625588, 141.454, 0.0763201, 0.443266, 22.25, 22.25, 9.25, 4.5, 2.5, 1.5
182, 0.625588, 141.454, 0.0763201, 0.443266, 27.25, 27.25, 11.25, 6.25, 3.5, 2.25
183, 0.473399, 192.037, 0.516359, 1.23622, 18.25, 18.25, 7.25, 4.25, 2.25, 1.25
184, 0.498489, 234.606, 0.391918, 0.803042, 20.25, 20.25, 8.25, 4.5, 2.5, 1.5
185, 0.460228, 364.05, 0.684362, 0.635112, 36.25, 36.25, 14.5, 8.25, 4.5, 2.5
186, 0.456176, 365.42, 0.695252, 0.488427, 23.5, 23.5, 9.5, 5.25, 3.25, 2.25
187, 0.488413, 354.551, 0.455621, 0.46725, 27.25, 27.25, 11.25, 6.25, 4.25, 2.5
188, 0.519025, 198.423, 0.313008, 1.1525, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
189, 0.451073, 373.485, 0.682865, 0.630442, 23.25, 23.25, 9.5, 5.25, 3.25, 2.25
190, 0.625588, 141.454, 0.0763201, 0.443266, 15.25, 15.25, 6.25, 3.5, 2.25, 1.25
191, 0.500742, 232.515, 0.421093, 1.01987, 28.25, 28.25, 11.5, 6.25, 3.5, 2.25
192, 0.519025, 198.423, 0.313008, 1.1525, 25.25, 25.25, 10.25, 5.5, 3.5, 2.25
193, 0.622649, 134.543, 0.0787663, 0.33674, 30.25, 30.25, 12.25, 6.5, 3.5, 2.25
194, 0.525727, 184.149, 0.298042, 1.05592, 20.5, 20.5, 8.25, 4.5, 2.5, 1.5
195, 0.680494, 307.35, 0.0390016, 1.10962, 35.25, 35.25, 15.25, 8.5, 5.25, 3.25
196, 0.460228, 364.05, 0.684362, 0.635112, 33.25, 33.25, 13.5, 7.5, 4.5, 2.5
197, 0.519025, 198.423, 0.313008, 1.1525, 23.5, 23.5, 9.5, 5.25, 3.25, 1.5
198, 0.619356, 285.991, 0.0889, 0.991804, 12.25, 12.25, 5.25, 3.25, 2.25, 1.5
199, 0.652888, 136.961, 0.0402701, 0.595845, 20.5, 20.5, 8.25, 4.5, 2.5, 1.5
200, 0.619356, 285.991, 0.0889, 0.991804, 36.5, 36.5, 15.5, 8.25, 5.25, 3.25
