Run #, Dr, G0, hpo, nCycles.CovMultiplier, nCycles_1, nCycles_2, nCycles_3, nCycles_4, nCycles_5, nCycles_6
1, 0.492215, 282.279, 0.452265, 1.05546, 27.5, 27.5, 11.25, 6.25, 3.5, 2.25
2, 0.521997, 345.372, 0.312279, 1.53618, 23.5, 23.5, 10.25, 5.5, 3.5, 2.25
3, 0.552382, 210.359, 0.222197, 0.974861, 25.5, 25.5, 10.5, 5.5, 3.5, 2.25
4, 0.499758, 196.645, 0.397529, 0.595351, 21.5, 21.5, 8.5, 4.5, 2.5, 1.5
5, 0.493094, 290.306, 0.451319, 1.41988, 24.5, 24.5, 10.25, 5.5, 3.5, 2.25
6, 0.489885, 120.477, 0.439303, 2.97524, 22.5, 22.5, 9.25, 4.5, 2.5, 1.5
7, 0.51231, 284.208, 0.319786, 1.33131, 21.25, 21.25, 8.5, 4.5, 3.25, 1.5
8, 0.625588, 141.454, 0.0763201, 0.443266, 24.25, 24.25, 10.25, 5.25, 3.25, 1.5
9, 0.615519, 287.682, 0.0917036, 0.986478, 27.5, 27.5, 11.25, 6.5, 4.25, 2.5
10, 0.490421, 346.962, 0.454974, 0.458294, 23.5, 23.5, 10.25, 5.5, 3.5, 2.25
11, 0.622649, 134.543, 0.0787663, 0.33674, 21.25, 21.25, 8.5, 4.5, 2.5, 1.5
12, 0.618395, 136.086, 0.0705452, 0.476735, 23.25, 23.25, 9.25, 5.25, 3.25, 1.5
13, 0.45843, 385.502, 0.677821, 0.7945, 25.25, 25.25, 10.5, 5.5, 3.5, 2.25
14, 0.460228, 364.05, 0.684362, 0.635112, 24.25, 24.25, 10.25, 5.5, 3.25, 2.25
15, 0.488413, 354.551, 0.455621, 0.46725, 26.5, 26.5, 10.5, 6.25, 3.5, 2.25
16, 0.547441, 108.604, 0.227427, 0.610389, 25.25, 25.25, 10.25, 5.25, 3.25, 1.5
17, 0.457008, 344.862, 0.690951, 0.718758, 27.5, 27.5, 11.25, 6.25, 3.5, 2.25
18, 0.519025, 198.423, 0.313008, 1.1525, 21.5, 21.5, 8.5, 4.5, 2.5, 1.5
19, 0.489088, 296.239, 0.485833, 1.11928, 28.25, 28.25, 11.5, 6.25, 3.5, 2.25
20, 0.625588, 141.454, 0.0763201, 0.443266, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
21, 0.51231, 284.208, 0.319786, 1.33131, 22.25, 22.25, 9.25, 5.25, 3.25, 2.25
